from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay
8000001,8000001,52,81,176,60,1800
8000001,8000085,11,19,371,60,1020
8000001,8000086,18,21,116,60,450
8000001,8000207,7,7,330,360,540
8000001,8000208,24,37,142,30,2100
8000002,8000002,10,12,150,120,510
8000002,8000078,16,17,496,150,3780
8000002,8000170,7,7,69,60,120
8000002,8000329,9,12,118,90,450
8000002,8001751,4,6,140,75,510
8000004,8000004,49,104,133,0,1860
8000004,8000036,8,13,78,90,210
8000004,8000152,14,18,93,30,600
8000004,8000162,11,18,35,30,150
8000004,8000196,10,16,99,30,540
8000004,8000297,33,52,219,30,1890
8000009,8000009,76,90,137,90,570
8000009,8000067,11,15,132,60,510
8000009,8000091,14,19,172,60,570
8000009,8000122,13,20,153,90,690
8000009,8000260,1,1,120,120,120
8000009,8000284,45,57,123,90,570
8000013,8000013,130,160,439,150,4800
8000013,8000057,14,40,47,0,330
8000013,8000078,26,27,218,180,750
8000013,8000139,29,31,329,90,2310
8000013,8000170,24,29,280,60,2580
8000013,8000260,3,4,345,165,1200
8000013,8000261,6,6,910,750,2130
8000013,8000320,1,1,750,750,750
8000013,8004158,64,79,587,330,4860
8000025,8000025,67,100,211,90,3630
8000025,8000150,1,2,15,15,30
8000025,8000228,36,48,164,75,1230
8000025,8000260,30,33,118,60,720
8000025,8000284,6,7,1089,60,3570
8000025,8001844,61,69,217,180,750
8000025,8010101,7,16,45,0,450
8000029,8000029,42,55,153,120,810
8000029,8000115,19,22,154,120,600
8000029,8000128,1,2,15,15,30
8000029,8003200,19,26,102,75,720
8000029,8010097,9,11,134,90,540
8000031,8000031,123,141,366,150,4050
8000031,8000068,56,71,253,120,2730
8000031,8000244,1,1,30,30,30
8000031,8000377,76,89,438,180,4050
8000036,8000004,11,14,354,165,1560
8000036,8000036,89,109,479,150,5040
8000036,8000149,22,22,419,240,1740
8000036,8000152,23,23,1100,870,3030
8000036,8000162,45,75,123,30,1380
8000036,8000252,1,1,990,990,990
8000036,8000732,1,1,270,270,270
8000036,8002461,53,67,187,60,4980
8000039,8000039,65,80,318,105,3570
8000039,8000045,26,33,183,120,870
8000039,8000189,20,22,124,120,300
8000039,8000206,5,6,350,300,780
8000039,8000240,30,37,492,150,3360
8000041,8000041,257,347,310,120,4050
8000041,8000080,110,142,473,225,4020
8000041,8000098,117,171,193,60,2220
8000041,8000192,24,24,95,90,180
8000041,8000251,25,34,113,30,1020
8000044,8000044,129,172,625,300,4440
8000044,8000085,15,16,456,405,1770
8000044,8000206,16,18,873,825,2670
8000044,8000207,60,75,536,270,3240
8000044,8000310,51,62,595,405,3240
8000045,8000039,24,34,342,90,2550
8000045,8000045,51,69,293,120,2370
8000045,8000206,27,35,219,90,960
