from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay
8000001,8000001,50,77,198,60,3600
8000001,8000085,12,18,137,30,960
8000001,8000086,15,18,367,105,2280
8000001,8000207,2,2,420,420,780
8000001,8000208,29,42,216,75,2190
8000002,8000002,10,15,128,90,750
8000002,8000078,13,16,156,60,510
8000002,8000170,6,7,30,30,60
8000002,8000329,5,7,77,90,150
8000002,8001751,5,8,206,60,960
8000004,8000004,32,93,65,0,750
8000004,8000036,4,13,28,0,180
8000004,8000152,6,16,96,0,870
8000004,8000162,12,16,45,30,90
8000004,8000196,11,14,184,30,660
8000004,8000297,22,47,56,0,630
8000009,8000009,68,90,144,75,1680
8000009,8000067,10,16,88,45,540
8000009,8000091,15,19,147,60,600
8000009,8000122,11,18,172,30,1590
8000009,8000284,43,55,108,90,1170
8000013,8000013,101,137,391,90,2700
8000013,8000057,14,40,23,0,180
8000013,8000078,20,24,221,105,900
8000013,8000139,25,32,267,60,2070
8000013,8000170,15,28,90,30,1440
8000013,8000260,4,5,120,60,330
8000013,8000261,5,6,780,630,2160
8000013,8004158,58,69,551,210,2610
8000025,8000025,71,97,394,180,3330
8000025,8000150,1,2,30,30,60
8000025,8000228,34,49,280,60,2130
8000025,8000260,31,33,215,90,2040
8000025,8000284,4,6,100,120,270
8000025,8001844,59,67,390,90,2430
8000025,8010101,11,15,266,30,3270
8000029,8000029,41,55,146,90,570
8000029,8000115,16,18,217,120,990
8000029,8000128,1,1,30,30,30
8000029,8003200,15,28,142,75,570
8000029,8010097,8,8,124,120,270
8000031,8000031,114,139,254,150,1890
8000031,8000068,63,68,281,225,930
8000031,8000244,1,1,600,600,600
8000031,8000377,53,88,176,30,1890
8000036,8000004,8,14,99,75,360
8000036,8000036,101,109,690,270,14220
8000036,8000149,21,21,587,240,2700
8000036,8000152,23,23,1307,960,5340
8000036,8000162,47,69,253,60,2100
8000036,8000252,1,1,1140,1140,1140
8000036,8000732,1,1,240,240,240
8000036,8002461,51,63,454,90,14160
8000039,8000039,54,87,200,60,3420
8000039,8000045,29,36,112,60,420
8000039,8000189,19,20,105,75,360
8000039,8000206,6,8,154,30,870
8000039,8000240,27,36,346,105,3330
8000039,8000275,2,2,75,75,120
8000041,8000041,259,331,398,150,13920
8000041,8000080,127,139,572,300,3480
8000041,8000098,125,162,314,90,13860
8000041,8000192,20,22,56,30,330
8000041,8000251,24,32,171,90,1200
