from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay
8000001,8000001,43,87,143,0,3210
8000001,8000085,11,20,57,30,330
8000001,8000086,17,21,483,270,2760
8000001,8000207,5,7,411,540,810
8000001,8000208,24,41,105,30,1260
8000002,8000002,14,16,283,120,1560
8000002,8000078,16,19,161,90,600
8000002,8000170,7,9,47,30,120
8000002,8000329,8,8,352,105,1590
8000002,8001751,6,8,232,210,600
8000004,8000004,49,103,160,0,1380
8000004,8000036,9,13,122,90,450
8000004,8000152,13,18,68,30,330
8000004,8000162,11,17,139,30,960
8000004,8000196,11,16,302,45,1320
8000004,8000297,39,52,198,60,1350
8000009,8000009,77,95,211,120,1800
8000009,8000067,15,18,218,105,1410
8000009,8000091,17,22,277,60,1800
8000009,8000122,16,24,105,30,1050
8000009,8000284,52,63,127,90,720
8000013,8000013,153,181,517,180,7980
8000013,8000057,31,48,171,45,2280
8000013,8000078,22,25,271,300,630
8000013,8000139,28,33,375,90,3540
8000013,8000170,25,30,167,75,1830
8000013,8000260,7,7,540,510,1110
8000013,8000261,7,7,1731,1110,3630
8000013,8004158,82,95,662,240,8130
8000025,8000025,95,118,356,120,4200
8000025,8000228,38,53,227,60,2100
8000025,8000260,35,36,153,90,930
8000025,8000284,7,7,1200,210,4440
8000025,8001844,64,73,360,180,2640
8000025,8010101,13,15,238,120,1050
8000029,8000029,62,76,192,120,1080
8000029,8000115,23,25,228,150,1110
8000029,8000128,3,3,130,150,180
8000029,8003200,27,39,143,60,930
8000029,8010097,15,18,170,105,570
8000031,8000031,122,145,412,210,3030
8000031,8000068,69,71,495,330,3000
8000031,8000244,1,1,30,30,30
8000031,8000377,68,91,306,90,2370
8000036,8000004,12,14,270,180,930
8000036,8000036,92,111,512,210,3810
8000036,8000149,20,22,525,345,2340
8000036,8000152,22,23,698,420,3480
8000036,8000162,52,77,189,60,3420
8000036,8000252,1,1,330,330,330
8000036,8000732,1,1,1890,1890,1890
8000036,8002461,44,67,267,60,3870
8000039,8000039,63,90,255,60,3120
8000039,8000045,29,40,174,60,960
8000039,8000189,20,24,115,90,390
8000039,8000206,4,5,1164,780,2970
8000039,8000236,0,1,0,0,0
8000039,8000240,38,51,217,60,3000
8000041,8000041,300,400,428,180,5610
