from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay
8000001,8000001,47,87,211,30,6030
8000001,8000085,15,22,134,105,480
8000001,8000086,19,20,190,165,510
8000001,8000207,7,7,733,570,1530
8000001,8000208,32,41,75,60,300
8000002,8000002,14,16,471,330,2070
8000002,8000078,11,18,88,45,450
8000002,8000170,8,9,83,60,270
8000002,8000329,6,8,232,240,540
8000002,8001751,8,8,739,495,2100
8000004,8000004,47,103,84,0,960
8000004,8000036,9,13,46,30,120
8000004,8000152,9,18,53,15,330
8000004,8000162,13,17,118,60,570
8000004,8000196,10,16,101,45,390
8000004,8000297,34,52,131,30,1020
8000009,8000009,76,95,199,120,1950
8000009,8000067,14,18,158,75,690
8000009,8000091,11,22,68,15,480
8000009,8000122,18,24,150,120,570
8000009,8000284,58,63,244,120,2220
8000013,8000013,217,263,390,150,4530
8000013,8000057,23,48,30,0,330
8000013,8000078,56,64,369,120,4380
8000013,8000139,27,33,208,120,1080
8000013,8000170,21,30,126,60,750
8000013,8000260,13,15,142,150,360
8000013,8000261,8,8,1271,1005,4440
8000013,8000262,1,3,910,-60,2850
8000013,8004158,104,119,534,210,3990
8000025,8000025,90,118,247,90,5430
8000025,8000228,47,53,198,120,1560
8000025,8000260,34,36,171,90,900
8000025,8000284,3,7,51,0,150
8000025,8001844,66,73,301,210,1770
8000025,8010101,12,15,142,30,1080
8000029,8000029,58,76,330,120,3150
8000029,8000115,23,25,562,180,3090
8000029,8000128,2,3,110,150,180
8000029,8003200,24,39,281,60,2820
8000029,8010097,13,18,128,90,540
8000031,8000031,110,148,174,60,1770
8000031,8000068,61,73,183,90,1770
8000031,8000244,1,1,300,300,300
8000031,8000377,63,93,127,30,1500
8000036,8000004,14,14,197,135,690
8000036,8000036,93,103,393,210,2640
8000036,8000149,22,22,506,195,1830
8000036,8000152,23,23,597,540,1890
8000036,8000162,56,74,229,60,2610
8000036,8000252,0,1,0,0,0
8000036,8002461,46,63,100,60,840
8000039,8000039,67,92,444,165,3870
8000039,8000045,33,40,314,300,1410
8000039,8000189,20,24,220,180,930
8000039,8000206,6,6,485,555,1080
8000039,8000236,1,1,60,60,60
8000039,8000240,39,53,468,60,3330
8000041,8000041,351,427,383,180,6060
8000041,8000080,163,182,432,180,4500
8000041,8000098,180,211,369,150,6090
8000041,8000192,34,34,131,120,360
8000041,8000251,34,34,308,255,870
8000044,8000044,129,180,460,180,5100
8000044,8000206,15,16,853,435,3120
8000044,8000207,90,104,446,225,2490
8000044,8000310,56,68,418,135,5100
8000045,8000039,31,38,617,150,4260
8000045,8000045,67,79,483,270,4170
8000045,8000206,36,41,327,270,1350
8000046,8000046,22,24,555,270,3030
8000046,8000074,14,14,688,270,3150
8000046,8000532,2,2,210,210,210
8000046,8003020,28,41,175,60,1140
