eva,name,lat,lon
8000266,Wuppertal Hbf,51.254363,7.149543
8004168,München Flughafen Terminal,48.353728,11.78597
8003751,Lorch(Rhein),50.0403,7.812843
8004400,Niedernhausen(Taunus),50.159697,8.312879
8077434,Neckarbischofsheim Nord,49.3069897,8.9423415
8000657,Auggen,47.789949,7.586788
8013093,Taucha(Leipzig),51.3790166,12.4844706
8004610,Westerstede-Ocholt,53.202166,7.886468
501176,"Marbach Kirche, Villingen-Schwenningen",48.030614,8.47133
8005498,Sechshelden,50.7489694,8.25276285
8002856,Hirschfelden,48.2898021,10.3622937
8004499,Ober-Widdersheim,50.4295573,8.93387765
8004628,Oesede,52.208729,8.064317
8012509,Nöbdenitz,50.878906,12.280657
8001450,Dietersheim,49.556882,10.543103
8005517,Selb Stadt,50.174216,12.126305
8071266,Bräunlingen In Stetten,47.9275115,8.46920907
950250,"Gundelshausen Bahnhof, Kelheim",48.945157,12.003598
8000099,Essen-Steele,51.450684,7.075552
121894,"Dillbrecht Abzw. Bahnhof, Haiger",50.804419,8.201618
8076116,Hamburg Hbf ZOB,53.5517183,10.0114417
8013468,Beelitz Stadt,52.239395,12.96686
8010124,Reinsdorf(Artern),51.34227,11.286051
8001700,Eichen(Kr Siegen),50.973864,7.977934
8011575,Friedewald(Kr Dresden) Bad,51.137948,13.662422
8011568,Freital-Coßmannsdorf,50.976876,13.624952
8010184,Chemnitz Hbf,50.839696,12.930877
720658,"Zeutern Ost, Ubstadt-Weiher",49.178972,8.702088
8000483,Alfeld(Leine),51.981417,9.817779
8012304,Markkleeberg Nord,51.287998,12.372204
8013433,Zwickau-Pölbitz,50.737212,12.479662
8003200,Kassel-Wilhelmshöhe,51.3125585,9.44711566
8002019,Förbau,50.207519,11.910685
8003558,Langsdorf(Oberhess),50.494954,8.85699
8011799,Hagenwerder,51.070117,14.960228
8013039,Steinfeld(Stendal),52.614734,11.728617
8013238,Warnitz(Uckermark),53.182031,13.876684
8010019,Bad Kösen,51.130742,11.718274
8010315,Schmalkalden,50.720181,10.440504
8001718,Einfeld,54.129373,9.997923
953805,"Gröperstr., Halberstadt",51.899321,11.048212
8000772,Baddeckenstedt,52.08916,10.228767
8000226,Lehrte,52.376722,9.974599
8010386,Wriezen,52.715433,14.140239
8003980,Merchweiler,49.356029,7.065547
8013202,Voigtstedt,51.391632,11.306824
8004506,Oberau,47.559273,11.139272
828735,"Bahnhof, Wildberg (Württ)",48.625109,8.743437
8005142,Röthenbach-Seespitze,49.491524,11.26149
833059,"Bitzfeld Schumm, Bretzfeld",49.189764,9.444689
8017408,Oelsnitz Bahnhofstraße,50.7270159,12.6980925
8012413,Nassenheide,52.816919,13.239198
8007281,Königshofen(Kahl),50.058847,9.205986
736511,"Bahnhof, Rangsdorf",52.294031,13.431324
8007820,Kreuzau Bahnhof,50.75075,6.488409
8001283,Burghaun(Hünfeld),50.70055,9.727953
8002609,Hartershofen,49.416762,10.242238
8071338,Ahrensfelde(Bz. Bremen),53.2334079,8.81813765
8012220,Lichtenberg(Erzgeb),50.840179,13.403754
8004001,Metelen Land,52.162494,7.254173
8007852,Usingen,50.330923,8.527254
8003349,Knöringen-Essingen,49.2374887,8.14822912
8005628,Speyer Hbf,49.324119,8.427949
8007889,Finsterwald,47.752887,11.728178
8079706,Altentreptow ZOB,53.692118,13.243503
509737,"Sennfeld Rathausplatz, Adelsheim",49.380403,9.383945
8001950,Fachingen(Lahn),50.361781,7.992566
8004222,Neckarzimmern,49.3168967,9.13701474
8002575,Handeloh,53.241693,9.844711
8013459,Niederdorf(Erzgeb),50.728308,12.782341
8004236,Nennig,49.538738,6.375851
8010239,Nauen,52.612696,12.885559
8000144,Türkheim(Bay)Bf,48.04569,10.617439
8070157,Leingarten Ost,49.1441729,9.13095832
8004979,Redwitz(Rodach),50.168831,11.207288
501234,"Busbahnhof, Donaueschingen",47.948613,8.497811
119980,"Niederscheld Adolfshütte, Dillenburg",50.719842,8.300353
8006232,Weckesheim,50.359559,8.843673
8004835,Pleinfeld,49.1061083,10.9771657
8003263,Kirchanschöring,47.953415,12.831517
8001365,Dalheim,51.1491429,6.17859721
8000036,Bielefeld Hbf,52.029261,8.532722
8003524,Langenargen,47.599491,9.544837
8000342,Weetzen,52.298351,9.635376
8005322,Scharmede,51.71179,8.64524
8005134,Rösrath,50.901549,7.182662
8002204,Geisingen-Hausen,47.912445,8.678602
8012884,Schmiedeberg (Dresden),50.8338467,13.6775064
8000090,Eichenberg,51.374823,9.921482
8012852,Schalkau,50.400554,11.001731
8011825,Hartmannmühle,50.778384,13.792418
8000107,Freiburg(Breisgau) Hbf,47.997697,7.84117
8002918,Hösbach,49.999713,9.229008
110802,"Durlach Bahnhof, Karlsruhe",49.001353,8.462202
8005601,Sondernach,48.3676403,9.62044001
701204,"Altengörs Bahnhofstraße, Neuengörs",53.898333,10.357042
8000370,Ehrang,49.802029,6.685808
8006240,Weeze,51.624294,6.197976
8011755,Großpösna,51.266709,12.488839
8002018,Föhren,49.857099,6.767531
8005330,Scheeßel,53.165825,9.496963
8001910,Essen-Kray Nord,51.46943,7.080476
8005689,Steinalben,49.3162405,7.65161276
8002721,Heinsberg(Rheinl),51.065037,6.098881
8013070,Leipzig Allee-Center,51.319158,12.291748
8003820,Mainz-Marienborn,49.960165,8.22290182
8003367,Köln-Dellbrück,50.981437,7.070124
8070984,Ellefeld Rathaus,50.486435,12.391821
8002410,Großen Linden,50.5282971,8.66209745
8003663,Leuterschach,47.745641,10.581221
8001504,Dorheim(Wetterau),50.352702,8.79051
8005539,Serrig,49.577132,6.569981
8004930,Rammingen(Württ),48.5123863,10.19086
8010370,Weißwasser(Oberlausitz),51.505442,14.638027
8006155,Waldershof,49.9832305,12.057994
712613,"Ungedanken Hauptstraße, Fritzlar",51.124445,9.21915576
800934,"Sebastian-Sailer-Straße, Obermarchtal",48.231694,9.567108
8000137,Grünstadt,49.564384,8.167962
8001858,Erpel(Rhein),50.582064,7.241594
8000595,Nottuln-Appelhülsen,51.892139,7.426334
8011039,Amtshainersdorf,50.966322,14.232364
8006414,Wiesenfeld(b Coburg),50.301555,10.911754
8012033,Kleinfurra,51.417407,10.763196
8002117,Friedrichsthal(Saar),49.320061,7.08913
8001228,Buchenau(Lahn),50.8706091,8.60111475
8003702,Lingenfeld,49.252584,8.349523
8001156,Bremen-Burg,53.160288,8.704773
8005794,Sulzbach(Main),49.917973,9.146531
8004493,Nürnberg Frankenstadion,49.430795,11.130044
8017415,Stollberg Schlachthofstraße,50.714229,12.778782
780091,"Hauptstraße 1, Westendorf b Donauwörth",48.572509,10.844426
8011762,Großschwabhausen,50.936958,11.481934
8012253,Ludwigsfelde-Struveshof,52.317181,13.232152
8000286,Oberhausen Hbf,51.474878,6.851588
119680,"Edingen Bundesstraße, Sinn",50.634461,8.325197
8007114,Gnarrenburg,53.381236,9.008099
8002304,Göhrde,53.167749,10.851118
743022,Pasewalk,53.514551,13.98897
8001819,Nistertal-Bad Marienberg,50.632114,7.90058
8003860,Reken-Maria Veen,51.839266,7.098167
8002908,Höpfling,47.811226,12.651162
8005059,Rheinberg(Rheinl),51.542382,6.591944
8080040,Albrechtshof,52.549396,13.128917
126736,"Busbahnhof, Gelnhausen",50.196719,9.188214
458540,"Ahrweiler Bahnhof, Bad Neuenahr-Ahrweiler",50.54583,7.107467
8004391,Niederlindhart,48.762512,12.237846
8000454,Aichstetten,47.887884,10.07494
8070664,Ruhmannsfelden,48.989413,12.99151
8006008,Unterreichenbach,48.826858,8.711284
130146,"Haffkrug Bahnhof, Scharbeutz",54.053631,10.742458
8005151,Roigheim,49.360833,9.341831
8003740,Lohr Bahnhof,50.004409,9.580715
8079085,Dahn,49.154556,7.771283
8000822,Batzhausen,49.191364,11.593033
8004328,Neustadt(Kr Marburg),50.850447,9.120643
8003283,Kirchheim(Teck)Süd,48.640261,9.451788
8005003,Wehretal-Reichensachsen,51.154096,9.985977
8001894,Espelkamp,52.378688,8.613358
8000501,Alpirsbach,48.343809,8.398251
8001771,Emmendingen,48.119454,7.847511
8000731,Bad Niedernau,48.460766,8.896533
8012553,Oelsnitz(Erzgeb),50.734178,12.693933
8012384,Moidentin,53.806071,11.481918
8003628,Leitstade,53.169143,10.912783
729902,Treuenbrietzen Süd,52.081036,12.88107
8070952,Berlin Hbf (Invalidenstraße),52.526626,13.368818
8001174,Wehr-Brennet,47.58092,7.910525
8000786,Balduinstein,50.3473877,7.96760917
978327,"Bahnhof/Busbahnhof, Glashütte",50.850713,13.782142
8005390,Schneverdingen,53.11057,9.798868
8002149,Fürth Westvorstadt,49.4690305,10.9714794
690704,"Kleindembach, Langenorla",50.732622,11.595006
716003,"Am Ziegenberg, Kassel",51.342889,9.443895
8000205,Kleve,51.789734,6.146224
8012129,Kummersdorf(Storkow),52.275064,13.874126
8005493,Schwetzingen-Hirschacker,49.4068,8.55634
8003016,Hünfeld,50.6733117,9.76293504
421012,"Untergriesheim Bahnhof, Bad Friedrichshall",49.266456,9.222033
8004781,Pfaffenhofen(Ilm),48.522433,11.511884
8000065,Cölbe,50.8485891,8.78796279
8003623,Leingarten,49.1450642,9.12161082
8003529,Velbert-Langenberg,51.354764,7.122377
8002256,Gersthofen,48.42302,10.861193
8012367,Mittelschmalkalden,50.717714,10.400055
8013167,Ulberndorf,50.874021,13.672117
8004451,Nordendorf,48.593434,10.837306
8000309,Regensburg Hbf,49.011672,12.099617
830158,"ZOB, Crailsheim",49.13755,10.067473
8001096,Steinfurt-Borghorst,52.118737,7.397539
8004166,Münchweiler(Rodalb),49.221355,7.700417
8004507,Oberaudorf,47.65279,12.175262
8006520,Wittmund,53.579868,7.788826
509718,"Seckenheim Hochstätt, Mannheim",49.452933,8.538855
8001545,Dortmund-Sölde,51.49546,7.589205
8004032,Bad Schönborn-Kronau,49.219345,8.646821
8012470,Neusalza-Spremberg,51.034251,14.526247
8001977,Felde,54.309847,9.947018
8003512,Landsberg(Lech),48.047274,10.871701
8071337,Hagen(Kr. Stade),53.5499941,9.45989907
8003847,Mannheim-Seckenheim,49.4512655,8.53843957
325619,"Miltzow Bahnhof, Sundhagen",54.2002822,13.1970075
8001080,Bondorf(b Herrenberg),48.523552,8.827662
755325,"Nord/AUDI Tor 6, Neckarsulm",49.202174,9.227018
973957,"Bahnhofstraße, Lohmen (Sachsen)",50.988428,13.992599
8013487,Oranienburg,52.753653,13.249613
8070860,Volkach-Astheim,49.864345,10.217033
8013367,Wutike,53.004316,12.352854
8013228,Wandlitzsee,52.755967,13.474025
8002068,Freiburg-Littenweiler,47.981672,7.895133
8004050,Möckmühl,49.321107,9.357979
8012680,Prösen West,51.4246711,13.4697157
8002281,Gittelde/Bad Grund(Harz),51.787337,10.203025
8012870,Schleife,51.5354316,14.5321012
200481,"Bahnhof, Linz am Rhein",50.569115,7.275715
8000569,Münster-Amelsbüren,51.883662,7.598897
8002200,Geisingen-Aulfingen,47.886408,8.661611
8000688,Neufahrn(Niederbay),48.729884,12.19046
8000195,Kaufering,48.0810787,10.8549106
8011326,Crivitz,53.572518,11.645071
8001702,Eichenau(Oberbay),48.179324,11.328277
8005645,St Goar,50.150155,7.714587
8001092,Bordesholm,54.174373,10.043711
8007137,Langeln(Holst),53.791833,9.862105
101844,"Bahnhof/Niederwaldstraße, Rastatt",48.861645,8.215947
8004319,Neuses(b Kronach),50.217153,11.306843
8070499,Neetze,53.2697894,10.6261131
500909,"Römerschule, Rottweil",48.157661,8.644363
8010101,Erfurt Hbf,50.9723561,11.0379928
828344,"Hochdorf Rathaus, Nagold",48.496329,8.721248
8001893,Eschweiler-Weisweiler,50.824174,6.320318
8005665,Stadtoldendorf,51.881002,9.620519
8010269,Pegau,51.165966,12.241046
522801,"Großhelfendorf (S), Aying",47.944524,11.782579
646204,"Bahnhofstraße, Orlamünde",50.77577,11.543603
8000218,Weilburg,50.4872757,8.268435
8011563,Frauenhain,51.384223,13.503636
8001578,Dürrnhaar,47.993954,11.736607
8006707,Hann Münden,51.412582,9.658272
8002284,Gladbeck-Zweckel,51.59027,6.984424
8013023,Stadtilm,50.766956,11.070817
8004325,Neustadt(b Coburg),50.332813,11.121391
8070941,Cossengrün Schule,50.580662,12.146824
8004927,Rammingen(Bay),48.0524376,10.5897877
8012341,Cottbus-Merzdorf,51.76891,14.366669
8002810,Hesseln,52.068397,8.311956
8013129,Töppeln,50.890855,12.006161
8002378,Bad Grönenbach,47.882468,10.253715
8070856,Eisenheim,49.869412,10.153426
8005749,Straß-Moos,48.711321,11.050315
8013224,Waltershausen Schnepfenthal,50.883974,10.576211
8000923,Besch,49.504391,6.372303
8010009,Aschersleben,51.757122,11.465689
8011901,Berlin-Hohenschönhausen,52.5660016,13.5124218
8004882,Pretzfeld,49.757306,11.170051
8001512,Dornstetten,48.469635,8.50321412
8010220,Lübbenau(Spreewald),51.862169,13.9609
8005687,Stein(Traun),47.985354,12.546124
8000969,Billenhausen,48.275562,10.358162
8011995,Kalsow,53.925699,11.57835
8002592,Harblek,54.361971,8.962646
8003489,Ladenburg,49.474242,8.602803
8012067,Königsbrück,51.2601693,13.8998562
8006687,Zwingenberg(Bergstr),49.725902,8.609119
8012292,Magdeburg-Sudenburg,52.120426,11.597136
431231,"Buchenhain, Baierbrunn",48.032542,11.49789
8004748,Palzem,49.565064,6.371926
8004629,Oerlenbach,50.143278,10.130921
8000590,Anzenkirchen,48.434739,13.021996
8006463,Wincheringen,49.6087425,6.40684247
8013370,Zachun,53.502653,11.324498
8010306,Rudolstadt(Thür),50.7179313,11.3388991
8012873,Bad Schlema,50.618902,12.680229
8004908,Quelle,52.000487,8.460768
8011273,Brügge(Prign),53.256287,12.229208
8002845,Himmelstadt,49.923438,9.808214
8011187,Biesenrode,51.6039785,11.3850921
8001554,Dreieich-Dreieichenhain,49.998468,8.708693
8005688,Steinach(Baden),48.298992,8.056469
8072036,Bickenbach(Bergstr) Bertha-Benz-Straße,49.75977,8.60105
8071738,Chemnitz Hbf (Bahnhofstraße),50.838222,12.929189
8005350,Schiltach,48.2911742,8.33515495
8002180,Garbeck,51.321459,7.839903
8012552,Oehna,51.93305,13.048201
8004066,Mörlenbach,49.597299,8.730987
8001801,Enspel,50.616413,7.882353
8000233,Löhne(Westf),52.196653,8.7135
8011034,Altranft,52.763368,14.082107
646550,"Bahnhof, Großschwabhausen",50.937239,11.481849
8013350,Wünsdorf-Waldstadt,52.165559,13.468145
8001167,Bremen-Walle,53.103792,8.786241
8012312,Marksuhl,50.90835,10.224589
8005161,Ronshausen,50.946016,9.854425
8001389,Dausenau,50.326866,7.758212
8011834,Hausen(Eichsfeld),51.382523,10.379167
558987,"Mercedes-Benz Tor I, Sindelfingen",48.698603,9.001806
8001397,Deggendorf Hbf,48.83944,12.949727
8004280,Rottweil Neufra,48.126824,8.67042
8007056,Lentföhrden,53.876909,9.889835
8017418,Chemnitz Uhlestraße,50.806071,12.911852
8001734,Eitensheim,48.815979,11.319259
8011066,Bad Berka,50.896138,11.28155
8079021,Maasbüll(b Niebüll),54.75445,8.812742
8070776,Ilfeld Neanderklinik,51.5844566,10.7880056
8011252,Brandenburg Altstadt,52.4117,12.530347
8001544,Dortmund-Rahm,51.525728,7.395252
102509,"Zentrum Marktplatz/Berliner Str., Offenbach am Mai",50.105614,8.764558
514742,"Untere Austraße, Adelsheim",49.400499,9.392479
8005777,Stuttgart-Zazenhausen,48.836034,9.199539
459321,"Kreuzberg Bahnhofstraße, Altenahr",50.50897,6.976174
8001046,Bodelsberg,47.678113,10.411092
493511,"Stadtbahnhof, Friedrichshafen",47.652753,9.473562
8012314,Marlishausen,50.819504,11.010056
8013357,Wulfen(Anh),51.818681,11.922141
8000948,Bickenbach(Bergstr),49.7603795,8.60349655
8002227,Gelsenkirchen-Rotthausen,51.492642,7.089009
8004713,Ostheim(Kr Hanau),50.2191,8.903381
8002648,Hauenstein Mitte,49.199169,7.849564
8003814,Mainroth,50.120661,11.319285
8000804,Bargteheide,53.7282,10.269104
8012957,Caputh Schwielowsee,52.340976,12.980368
8004261,Neuenhaus Süd,52.4871,6.98405
320493,"Wartehalle, Kirch Jesar",53.4393,11.27935
8087061,Hörselgau,50.923383,10.577866
723551,"Busenbach Bahnhof, Waldbronn",48.92955,8.451081
8089361,Frankfurt(M) Flughafen Fernbahnhof (Squaire),50.05312,8.56955
119875,"Busbahnhof, Stadtallendorf",50.825394,9.013576
8005194,Rott(Inn),47.9861159,12.1357513
8010085,Dresden Hbf,51.040563,13.732035
8000123,Gerolstein,50.224006,6.660372
209686,"Holthausen Bahnhof, Essen (Ruhr)",51.417637,7.074906
8005624,Speicher,49.929184,6.615911
371598,"Weinsberg/Ellhofen Gewerbegebiet, Ellhofen",49.14848,9.307436
8005649,St Ingbert,49.274763,7.110814
639143,"Bahnhof, Icking",47.9536,11.437736
8012075,Könitz(Thür),50.6601124,11.4879119
361801,"Mettingen Bahnhof, Esslingen am Neckar",48.747432,9.276309
8012196,Leipzig Nord,51.364162,12.40106
8002594,Hardegsen,51.65902,9.826032
960506,"Busbahnhof, Zeitz",51.055896,12.133107
711707,"Herzhausen Itterstraße, Vöhl",51.185145,8.894047
8001466,Dingolfing,48.641606,12.48687
8006219,Wasserburg(Günz),48.438377,10.269707
8003912,Matzing,47.935527,12.59239
8003589,Lauingen,48.574566,10.424966
8001122,Bramsche,52.410879,7.975007
8001525,Dortmund-Westerfilde,51.548334,7.380213
122611,"Eddersheim An der Lache, Hattersheim am Main",50.038432,8.459659
8000498,Allersberg(Rothsee),49.262131,11.212573
736113,"Babelsberg (S)/Schulstr., Potsdam",52.390781,13.090668
8004799,Brötzingen Mitte,48.889464,8.667027
731603,"Wannsee Bahnhof (S), Berlin",52.421354,13.178332
8005002,Reichenberg(Unterfr),49.731129,9.91289
8071103,Auhausen,49.006341,10.623506
8005504,Seefeld-Hechendorf,48.04137,11.19873
8071736,Gondelsheim Marktplatz,49.059592,8.657549
8079056,Tuttlingen Zentrum,47.985615,8.809435
8006648,Zeppelinheim,50.036516,8.605153
8002283,Gladbeck Ost,51.575531,6.994813
8001537,Dortmund-Kurl,51.556979,7.585291
8070985,Rodewisch Busbahnhof,50.530213,12.402965
8002571,Hamminkeln,51.735104,6.601745
8013248,Wefensleben,52.17694,11.155205
8003416,Konstanz-Wollmatingen,47.682453,9.147331
8006376,Westhausen,48.881409,10.183653
8001739,Hamburg Elbgaustraße,53.602575,9.893738
8011423,Dresden-Pieschen,51.081859,13.725527
8004553,Oberlenningen,48.554385,9.470774
8012231,Limbach(Vogtl),50.587071,12.25315
8013539,Beuchow,54.362122,13.502454
8001666,Ediger-Eller,50.104697,7.139598
503239,"Unadingen Angel, Löffingen",47.886266,8.407912
8002598,Haren(Ems),52.785123,7.301428
8004642,Oeventrop,51.39202,8.132081
8002078,Freising,48.395195,11.744539
696821,"Bahnhof, Schleswig",54.500365,9.53827
8003100,Ittling,48.884909,12.637998
8000284,Nürnberg Hbf,49.445616,11.082989
8011053,Arensdorf(Köthen),51.709511,12.007416
8010007,Arnstadt Hbf,50.841939,10.948262
8001911,Essen-Kray Süd,51.458055,7.074655
8013349,Wünschendorf Nord,50.817438,12.077948
741198,"Walddrehna Bahnhof, Heideblick",51.77274,13.617744
8005948,Uffing a Staffelsee,47.72015,11.158954
8003845,Mannheim-Rheinau,49.424091,8.534944
8079605,Herzhorn,53.783537,9.483884
8011623,Gera-Zwötzen,50.85005,12.082181
8079151,Dreieich-Weibelfeld,50.007084,8.700922
8011848,Heiligengrabe,53.1501066,12.3425844
500109,"Bahnhof, Herbolzheim",48.223758,7.767324
8003568,Laubenheim(Nahe),49.918799,7.897215
8005835,Temmels,49.688479,6.462523
8070096,Albsheim(Eis),49.5807479,8.17916572
8006016,Untersteinach(Bayr),49.968884,11.689862
8002198,Gauting,48.070658,11.376146
8012323,Meerane,50.8506212,12.4575841
710253,"Singlis, Borken (Hessen)",51.059193,9.318975
8006472,Windischeschenbach,49.794747,12.16517
8001153,"Breitscheidt(Altenkirchen, Ww)",50.748435,7.661486
8007278,Niedersteinbach,50.086596,9.148562
8070557,Trochtelfingen(Hohenz),48.307542,9.246268
8002895,Höhmühlbach,49.243893,7.526028
8003479,Kronshagen,54.331211,10.083155
8000086,Duisburg Hbf,51.429785,6.775903
8000864,Bad Bellingen,47.730804,7.557601
706352,"Bahnhof, Bredenbek",54.3149,9.867099
8010092,Ebersbach(Sachs),51.004378,14.578802
8000384,Groß-Umstadt Wiebelsbach,49.8332043,8.94089699
8012572,Osterweddingen,52.049135,11.575921
8000029,Bebra,50.969568,9.797788
8004555,Oberlinxweiler,49.450707,7.151116
8005053,Reutlingen-Betzingen,48.49621,9.175442
8005725,Stetten(Schwab),48.027663,10.43604
8079152,Vatteröder Teich,51.5981141,11.4121771
8000959,Bieringen,48.449029,8.860915
8006633,Zaisenhausen,49.104757,8.816664
8013051,Sternfeld,53.824775,13.15042
8004652,Offensen(Kr North),51.588886,9.679817
8001213,Lüdenscheid-Brügge,51.20792,7.571086
8002861,Boppard-Hirzenach,50.175075,7.648436
505473,"Bahnhof, Bensheim",49.681995,8.617476
8000071,Derneburg(Han),52.096851,10.143719
8001803,Enzberg,48.933883,8.799804
8070450,Kandern,47.713491,7.656905
8011055,Arnstadt Süd,50.831084,10.954958
8001896,Essen Stadtwald,51.422853,7.023296
8012854,Schalkau Mitte,50.396618,11.008687
8000227,Letmathe,51.362838,7.618397
8012511,Nohra(Weimar),50.969222,11.267304
8071117,Neuhausmühle,48.7265206,13.5067114
8003361,Köln Süd,50.9273,6.938059
8013272,Wellmitz,52.064644,14.714896
8005653,St Mang,47.708899,10.325539
422070,"Bahnhof/Musikschule, Emmendingen",48.118981,7.847889
8012960,Schwerin-Margaretenhof,53.658552,11.360973
106906,"Biebrich Bahnhof Wiesbaden Ost, Wiesbaden",50.04034,8.256072
751057,"Killer Lamm, Burladingen",48.312541,9.061917
100453,"Prora Zweite Straße, Binz",54.429972,13.575556
8070011,Gondelsheim Schlossstadion,49.065737,8.662867
8000239,Lünen Hbf,51.617129,7.529485
8010338,Stralsund Hbf,54.308626,13.077321
8002402,Euskirchen-Großbüllesheim,50.686747,6.816188
8010391,Zella-Mehlis,50.646721,10.674124
8010385,Wolkramshausen,51.440021,10.745663
