from_stop_id,to_stop_id,avg_delay,median_delay,max_delay
8000038,8000925,435,435,870
8000038,8006053,360,360,360
8000039,8000021,120,90,390
8000039,8000039,301,150,2400
8000039,8000206,735,285,2370
8000039,8000240,825,480,2190
8000039,8000375,390,390,720
8000039,8000683,210,60,630
8000039,8000976,211,90,1470
8000039,8003075,353,60,1260
8000039,8004172,22,30,90
8000039,8004601,125,75,420
8000039,8005896,140,60,900
8000041,8000041,364,150,5400
8000041,8000080,664,240,5430
8000041,8000098,412,150,3480
8000041,8000251,239,45,2970
8000041,8000961,541,450,2070
8000041,8001039,188,120,1410
8000041,8004474,252,180,1140
8000041,8006226,249,75,1680
8000041,8006711,22,0,120
8000042,8000042,220,90,1800
8000042,8000295,180,180,180
8000042,8001056,86,0,750
8000042,8001707,144,30,1260
8000042,8006661,306,135,1800
8000043,8000043,31,15,390
8000043,8000325,-4,0,30
8000043,8000352,9,0,60
8000043,8003522,68,15,390
8000043,8004127,40,60,120
8000044,8000044,277,0,2580
8000044,8000206,330,330,330
8000044,8001088,73,30,540
8000044,8001091,351,30,2580
8000044,8001215,803,360,2940
8000044,8005152,28,0,570
8000045,8000045,284,150,1470
8000045,8000206,294,150,1530
8000045,8000742,350,240,1500
8000045,8004601,347,180,1350
8000045,8005622,228,150,900
8000046,8000046,427,390,1050
8000046,8000074,600,450,1440
8000046,8000386,90,90,90
8000046,8000532,510,510,930
8000046,8001112,240,105,1200
8000046,8001729,15,15,30
8000046,8003020,216,60,2040
8000047,8000047,643,405,2670
8000047,8000125,674,420,2520
8000047,8001902,649,360,2910
8000048,8000036,343,120,3750
8000048,8000048,272,60,3780
8000048,8002461,81,30,570
8000048,8003096,253,90,2280
8000049,8000049,359,150,2460
8000049,8000152,305,210,1650
8000049,8000159,133,30,570
8000049,8000169,196,150,480
8000049,8000255,5,0,60
8000049,8004760,-30,-30,-30
8000049,8005265,17,0,60
8000049,8005274,13,0,90
8000049,8006233,92,60,360
8000049,8006552,815,570,2430
8000049,8010224,600,360,1860
8000049,8010404,10,60,120
8000050,8000050,481,120,7260
8000050,8000070,258,60,2070
8000050,8000147,1929,1800,7350
8000050,8000152,407,330,1020
8000050,8000263,150,180,270
8000050,8000294,213,105,1290
8000050,8001157,135,165,210
8000050,8001160,109,60,780
8000050,8001164,1170,180,3240
8000050,8001443,60,60,60
8000050,8003292,99,60,300
8000050,8004702,30,30,150
8000050,8006076,258,255,780
8000051,8000051,117,60,1560
8000051,8001168,93,75,300
8000051,8004702,138,60,1470
8000053,8000053,173,150,1560
8000053,8000055,276,105,1530
8000053,8000339,68,90,120
8000053,8001138,84,30,330
8000053,8001152,233,210,870
8000053,8003127,420,420,420
8000053,8070012,121,60,780
8000053,8070179,223,210,630
8000054,8000054,247,105,2010
8000054,8001137,280,105,1350
8000054,8001182,301,120,1410
8000054,8002992,140,120,420
8000054,8004676,211,60,1980
8000054,8006453,66,15,510
8000055,8000053,26,15,120
8000055,8000055,128,30,4140
8000055,8000096,122,120,270
8000055,8000156,-120,-120,-120
8000055,8000191,273,75,1440
8000055,8001197,111,60,660
8000055,8001214,49,0,420
8000055,8003181,0,0,0
8000055,8003184,197,150,900
8000055,8004032,45,30,240
8000055,8005931,176,60,4140
8000055,8005990,120,60,240
8000055,8006053,7,0,30
8000055,8006421,10,30,30
8000055,8070008,61,30,450
8000056,8005788,120,60,480
8000057,8000013,157,150,540
8000057,8000057,233,90,2580
8000057,8000144,229,60,2370
8000057,8000194,122,60,1200
8000057,8000195,193,90,1920
8000057,8004158,574,450,1860
8000057,8005444,354,90,2580
8000058,8000058,196,90,2220
8000058,8002549,114,60,390
8000058,8002554,700,0,2100
8000058,8004177,104,60,1320
8000058,8010216,315,150,1650
8000058,8012933,120,60,360
8000059,8000059,153,120,630
8000059,8000233,300,300,300
8000059,8000252,330,330,390
8000059,8000294,232,210,390
8000059,8000732,0,0,0
8000059,8000957,144,120,630
8000059,8001201,150,120,540
8000059,8003288,163,150,540
8000062,8000062,61,45,240
8000062,8004001,35,0,240
8000062,8005712,58,30,240
8000063,8000063,35,0,300
8000063,8000757,31,0,330
8000063,8002852,39,0,300
8000064,8000064,434,180,3600
8000064,8000152,218,60,1080
8000064,8000168,620,240,3510
8000064,8004735,64,0,870
8000065,8000065,328,180,2130
8000065,8000337,384,270,2190
8000065,8000435,180,180,180
8000065,8001256,219,120,1080
8000065,8005291,354,225,1170
8000065,8006385,420,210,1980
8000066,8000066,110,30,990
8000066,8001343,5,0,60
8000066,8002972,88,0,810
8000066,8003658,48,0,510
8000067,8000009,483,345,1560
8000067,8000067,207,60,1170
8000067,8000330,100,60,540
8000067,8001651,51,30,240
8000067,8001751,86,60,270
8000067,8005297,73,30,570
8000067,8005388,129,75,570
8000068,8000031,305,240,1350
8000068,8000068,266,120,5280
8000068,8000105,379,150,1710
8000068,8000156,5070,5070,5070
8000068,8000377,480,480,480
8000068,8000948,122,90,420
8000068,8001377,144,60,600
8000068,8001378,220,150,1770
8000068,8002041,600,600,600
8000068,8003523,251,90,1680
8000068,8010205,510,510,510
8000068,8070003,-30,-30,-30
8000069,8000069,154,60,1530
8000069,8000473,85,120,180
8000069,8000933,60,30,180
8000069,8002656,162,30,450
8000069,8003969,235,60,1500
8000069,8005568,45,0,420
8000069,8005747,37,30,90
8000070,8000050,126,60,600
8000070,8000070,211,90,2040
8000070,8000291,1080,1080,2010
8000070,8000522,216,60,1770
8000072,8003136,9,0,180
8000073,8000073,85,0,1380
8000073,8000163,173,75,1140
8000073,8001790,117,30,960
8000073,8001865,77,0,750
8000073,8003400,30,30,60
8000073,8003401,92,60,270
8000073,8004029,60,60,150
8000073,8004595,637,645,1260
8000073,8005560,0,0,0
8000073,8079616,30,30,60
8000074,8000046,306,330,780
8000074,8000074,414,315,1620
8000074,8000161,60,60,60
8000074,8000383,685,450,1890
8000074,8004405,121,120,510
8000075,8000075,119,60,1440
8000075,8000840,86,60,840
8000075,8003992,100,60,510
8000075,8005247,139,60,1440
8000075,8005562,9,0,120
8000076,8000076,237,60,2520
8000076,8000149,150,120,240
8000076,8000171,477,210,1530
8000076,8000571,582,450,2490
8000076,8000745,110,60,540
8000076,8001093,125,60,1140
8000076,8006383,177,0,2670
8000077,8000077,93,30,870
8000077,8000182,118,30,390
8000077,8000366,117,60,930
8000077,8001485,0,0,0
8000077,8002214,110,60,360
8000077,8003014,22,30,60
8000078,8000013,93,60,270
8000078,8000078,88,30,660
8000078,8000122,73,60,270
8000078,8000284,40,30,90
8000078,8000778,56,30,330
8000078,8003989,168,120,780
8000078,8004731,105,0,600
8000078,8006533,151,15,720
8000080,8000041,309,120,3480
8000080,8000080,417,135,7230
8000080,8000081,171,90,1680
8000080,8000098,300,300,300
8000080,8000142,369,105,2130
8000080,8000149,328,210,1800
8000080,8000192,120,120,120
8000080,8000251,249,180,1050
8000080,8000263,2363,2145,7230
8000080,8000961,56,60,150
8000080,8001515,171,165,420
8000080,8001522,78,60,330
8000080,8001527,58,30,600
8000080,8001532,131,90,300
8000080,8001533,140,45,1560
8000080,8001537,150,15,780
8000080,8001543,81,60,240
8000080,8003168,241,105,1680
8000081,8000080,155,90,1140
8000081,8000081,117,30,1770
8000081,8001531,87,30,600
8000081,8001542,26,0,150
8000081,8003946,6,0,180
8000081,8004230,294,180,1800
8000082,8000082,320,150,3660
