region_name,section_count,delay_count,avg_delay,median_delay,max_delay,total_entries,date
Arnsberg,479.0,13803.0,132.47871501773747,60.0,3450.0,20296.0,2023-08-14
Berlin,80.0,6101.0,118.94551699632832,60.0,5490.0,8443.0,2023-08-14
Brandenburg,950.0,16150.0,191.157307047323,60.0,7860.0,24449.0,2023-08-14
Braunschweig,137.0,2069.0,116.6696562032885,30.0,3300.0,3345.0,2023-08-14
Bremen,9.0,86.0,120.97297297297297,60.0,570.0,111.0,2023-08-14
Chemnitz,296.0,4047.0,46.56566562079785,30.0,1830.0,6693.0,2023-08-14
Darmstadt,479.0,16616.0,126.09703722677595,60.0,3450.0,23424.0,2023-08-14
Dessau,190.0,3425.0,177.65619949203418,90.0,2520.0,4331.0,2023-08-14
Detmold,128.0,2385.0,172.7270601987142,60.0,2520.0,3422.0,2023-08-14
Dresden,344.0,7177.0,93.5497657598422,30.0,2130.0,12167.0,2023-08-14
Düsseldorf,422.0,22231.0,188.08764060451315,90.0,3990.0,28982.0,2023-08-14
Freiburg,378.0,4834.0,90.00929512006196,30.0,1530.0,7746.0,2023-08-14
Gießen,158.0,2960.0,166.62636803257826,60.0,3870.0,3929.0,2023-08-14
Halle,244.0,3992.0,177.79591158384576,45.0,4500.0,6017.0,2023-08-14
Hamburg,33.0,4611.0,221.5297149299404,90.0,3390.0,6209.0,2023-08-14
Hannover,233.0,5654.0,154.06025974025974,60.0,4800.0,7700.0,2023-08-14
Karlsruhe,662.0,18764.0,136.79976032655506,60.0,14700.0,26703.0,2023-08-14
Kassel,256.0,4435.0,211.43363434997445,90.0,3900.0,5869.0,2023-08-14
Koblenz,360.0,7245.0,142.43345789019833,60.0,3420.0,10437.0,2023-08-14
Köln,470.0,20676.0,145.70394643616268,60.0,3000.0,28228.0,2023-08-14
Leipzig,302.0,10257.0,131.48370821946605,60.0,3330.0,14271.0,2023-08-14
Luneburg,138.0,2457.0,285.5153045124645,105.0,3120.0,3169.0,2023-08-14
Magdeburg,355.0,6744.0,179.8534169692968,90.0,3660.0,9087.0,2023-08-14
Mecklenburg-Vorpommern,573.0,6603.0,133.94093003770422,45.0,3660.0,11935.0,2023-08-14
Mittelfranken,352.0,9135.0,166.00149109073288,60.0,6660.0,13413.0,2023-08-14
Munster,233.0,6288.0,188.49762357414448,75.0,3090.0,8416.0,2023-08-14
Niederbayern,139.0,2384.0,197.4324245939675,90.0,4440.0,3448.0,2023-08-14
Oberbayern,811.0,29292.0,195.01058747269104,60.0,7170.0,41653.0,2023-08-14
Oberfranken,265.0,3627.0,367.3974331085491,90.0,6300.0,4597.0,2023-08-14
Oberpfalz,150.0,1337.0,188.91042047531994,90.0,3720.0,1641.0,2023-08-14
Rheinhessen-Pfalz,666.0,15028.0,124.5091409383453,60.0,5700.0,21442.0,2023-08-14
Saarland,230.0,5243.0,109.0650037792895,30.0,2100.0,7938.0,2023-08-14
Schleswig-Holstein,190.0,2976.0,155.86488143908423,30.0,2490.0,4892.0,2023-08-14
Schwaben,360.0,6899.0,426.84613681647113,150.0,4440.0,9034.0,2023-08-14
Stuttgart,461.0,7231.0,135.3621677066416,60.0,4920.0,11699.0,2023-08-14
Thüringen,902.0,10783.0,154.53972249868275,60.0,5520.0,17081.0,2023-08-14
Trier,110.0,3042.0,190.7958610117527,67.5,4380.0,3914.0,2023-08-14
Tübingen,331.0,4378.0,188.4984681372549,60.0,4140.0,6528.0,2023-08-14
Unterfranken,355.0,5939.0,161.33872731248633,60.0,3450.0,9146.0,2023-08-14
Weser-Ems,29.0,684.0,176.85537700865265,90.0,2040.0,809.0,2023-08-14
