region_name,section_count,delay_count,avg_delay,median_delay,max_delay,total_entries,date
Arnsberg,511.0,12575.0,264.0313447927199,60.0,9270.0,17802.0,2023-08-19
Berlin,80.0,6111.0,114.4385646150352,45.0,5790.0,8806.0,2023-08-19
Brandenburg,921.0,12618.0,157.0809166112009,30.0,8370.0,21034.0,2023-08-19
Braunschweig,129.0,1881.0,105.64899964899965,30.0,1560.0,2849.0,2023-08-19
Bremen,9.0,76.0,106.76229508196721,30.0,1080.0,122.0,2023-08-19
Chemnitz,296.0,3507.0,56.568558336270705,30.0,1680.0,5674.0,2023-08-19
Darmstadt,428.0,14148.0,113.84894185126582,60.0,1890.0,20224.0,2023-08-19
Dessau,189.0,2960.0,178.7621271076524,60.0,4200.0,3855.0,2023-08-19
Detmold,124.0,1815.0,137.83700834326578,30.0,9120.0,3356.0,2023-08-19
Dresden,369.0,5509.0,184.3468858131488,30.0,4110.0,9248.0,2023-08-19
Düsseldorf,376.0,17752.0,213.42021425992056,60.0,7260.0,24923.0,2023-08-19
Freiburg,327.0,4339.0,120.98891284262396,60.0,2820.0,6494.0,2023-08-19
Gießen,148.0,2035.0,96.24637180373186,60.0,1620.0,2894.0,2023-08-19
Halle,237.0,2962.0,83.83201267828844,30.0,2610.0,5048.0,2023-08-19
Hamburg,33.0,4600.0,240.1122028526149,60.0,2130.0,6310.0,2023-08-19
Hannover,233.0,5208.0,136.98356542466442,45.0,3630.0,7971.0,2023-08-19
Karlsruhe,602.0,14047.0,163.52509237173192,45.0,7380.0,21381.0,2023-08-19
Kassel,236.0,3318.0,158.14762407602956,60.0,9480.0,4735.0,2023-08-19
Koblenz,364.0,6673.0,158.5202731092437,60.0,3030.0,9520.0,2023-08-19
Köln,466.0,18507.0,256.0444070377941,82.5,6180.0,24951.0,2023-08-19
Leipzig,300.0,8363.0,85.22983501374885,30.0,3600.0,13092.0,2023-08-19
Luneburg,136.0,1784.0,201.8555713271824,60.0,1710.0,2818.0,2023-08-19
Magdeburg,343.0,4937.0,187.11477682284448,60.0,2970.0,7214.0,2023-08-19
Mecklenburg-Vorpommern,560.0,5587.0,159.64159510413583,60.0,9510.0,10131.0,2023-08-19
Mittelfranken,326.0,6830.0,131.41540450683414,30.0,6600.0,10828.0,2023-08-19
Munster,216.0,4774.0,205.33156859779157,60.0,7140.0,6611.0,2023-08-19
Niederbayern,137.0,2044.0,92.2981530343008,60.0,1680.0,3032.0,2023-08-19
Oberbayern,791.0,21789.0,112.3004797806717,30.0,10860.0,36475.0,2023-08-19
Oberfranken,255.0,3100.0,132.40324141267538,60.0,3060.0,4134.0,2023-08-19
Oberpfalz,139.0,1071.0,325.8800799467022,120.0,3120.0,1501.0,2023-08-19
Rheinhessen-Pfalz,646.0,12973.0,107.6921459362843,60.0,3660.0,19022.0,2023-08-19
Saarland,224.0,4292.0,80.85697623560286,30.0,3480.0,6859.0,2023-08-19
Schleswig-Holstein,193.0,3081.0,173.64639010769844,60.0,3240.0,5014.0,2023-08-19
Schwaben,306.0,5056.0,307.5679880329095,90.0,3870.0,6685.0,2023-08-19
Stuttgart,376.0,5870.0,136.0259421918088,45.0,7200.0,9791.0,2023-08-19
Thüringen,894.0,7539.0,79.87215533440045,30.0,1620.0,14369.0,2023-08-19
Trier,109.0,2598.0,149.007454445058,60.0,2250.0,3622.0,2023-08-19
Tübingen,293.0,3604.0,126.76691729323308,60.0,2640.0,5719.0,2023-08-19
Unterfranken,350.0,5137.0,216.13788320155362,60.0,6420.0,7209.0,2023-08-19
Weser-Ems,29.0,500.0,200.71191553544494,120.0,1440.0,663.0,2023-08-19
