region_name,section_count,delay_count,avg_delay,median_delay,max_delay,total_entries,date
Arnsberg,517.0,12519.0,146.53513307570893,60.0,9600.0,18373.0,2023-04-29
Berlin,82.0,6860.0,61.90571483548201,30.0,2430.0,10394.0,2023-04-29
Brandenburg,919.0,10912.0,84.01080559575495,30.0,2580.0,20730.0,2023-04-29
Braunschweig,129.0,1714.0,132.61264407963674,30.0,3030.0,2863.0,2023-04-29
Bremen,9.0,79.0,167.83157894736843,75.0,990.0,95.0,2023-04-29
Chemnitz,316.0,3517.0,139.00590996002086,30.0,13020.0,5753.0,2023-04-29
Darmstadt,451.0,14144.0,227.73304800701283,60.0,4290.0,19393.0,2023-04-29
Dessau,162.0,2507.0,208.48485739488385,60.0,3210.0,3401.0,2023-04-29
Detmold,124.0,1444.0,84.19923145137452,0.0,3090.0,3383.0,2023-04-29
Dresden,356.0,4669.0,61.74905640030195,0.0,8160.0,9273.0,2023-04-29
Düsseldorf,397.0,19312.0,216.57189094509178,60.0,8400.0,26262.0,2023-04-29
Freiburg,328.0,4123.0,109.52855007473842,45.0,2490.0,6690.0,2023-04-29
Gießen,148.0,1999.0,88.97704553868937,60.0,1920.0,2701.0,2023-04-29
Halle,252.0,3125.0,62.306604558309765,30.0,3030.0,6011.0,2023-04-29
Hamburg,36.0,3237.0,38.094267683407836,0.0,2880.0,7606.0,2023-04-29
Hannover,247.0,5853.0,107.6171297221667,30.0,3540.0,10006.0,2023-04-29
Karlsruhe,674.0,15790.0,115.53262771541975,45.0,3120.0,23431.0,2023-04-29
Kassel,250.0,3556.0,152.54412955465588,60.0,4110.0,4940.0,2023-04-29
Koblenz,344.0,6977.0,226.5613280388264,60.0,3660.0,9066.0,2023-04-29
Köln,462.0,16634.0,290.09347161281744,90.0,4080.0,22563.0,2023-04-29
Leipzig,308.0,9107.0,90.13876716330704,30.0,3600.0,13692.0,2023-04-29
Luneburg,136.0,1873.0,178.96198406951484,82.5,2880.0,2762.0,2023-04-29
Magdeburg,330.0,4772.0,166.6347926267281,60.0,3060.0,6944.0,2023-04-29
Mecklenburg-Vorpommern,514.0,3804.0,60.51197735191638,0.0,4620.0,9184.0,2023-04-29
Mittelfranken,399.0,8364.0,72.1084407971864,30.0,3360.0,13648.0,2023-04-29
Munster,219.0,4796.0,170.75367593536177,60.0,3330.0,6869.0,2023-04-29
Niederbayern,139.0,2072.0,190.3818362611866,60.0,1830.0,3017.0,2023-04-29
Oberbayern,771.0,30482.0,99.44650898616577,30.0,3210.0,49298.0,2023-04-29
Oberfranken,266.0,3030.0,92.39783709157847,30.0,2400.0,4346.0,2023-04-29
Oberpfalz,138.0,918.0,160.29003267973857,67.5,1560.0,1224.0,2023-04-29
Rheinhessen-Pfalz,668.0,13960.0,117.73221736033378,60.0,3840.0,19654.0,2023-04-29
Saarland,239.0,4924.0,76.23621837549933,30.0,3420.0,7510.0,2023-04-29
Schleswig-Holstein,187.0,2744.0,127.29728659140424,45.0,4680.0,5049.0,2023-04-29
Schwaben,338.0,4684.0,155.6448087431694,60.0,4530.0,6954.0,2023-04-29
Stuttgart,429.0,7476.0,100.79188818384496,30.0,3240.0,11662.0,2023-04-29
Thüringen,943.0,7099.0,67.76649121607765,15.0,2670.0,14629.0,2023-04-29
Trier,157.0,3232.0,62.87799564270153,30.0,1110.0,5049.0,2023-04-29
Tübingen,351.0,4991.0,129.04155087997881,60.0,3240.0,7557.0,2023-04-29
Unterfranken,365.0,3707.0,102.44173913043478,15.0,6600.0,7475.0,2023-04-29
Weser-Ems,29.0,570.0,113.14601226993865,60.0,2640.0,815.0,2023-04-29
