region_name,section_count,delay_count,avg_delay,median_delay,max_delay,total_entries,date
Arnsberg,474.0,13925.0,150.97763903005662,60.0,6060.0,20661.0,2023-06-27
Berlin,68.0,5739.0,92.28165564535881,30.0,2640.0,8166.0,2023-06-27
Brandenburg,946.0,15036.0,110.50696681701031,30.0,3870.0,24832.0,2023-06-27
Braunschweig,125.0,1626.0,105.11538461538461,0.0,2160.0,3146.0,2023-06-27
Bremen,9.0,81.0,104.74264705882354,120.0,930.0,136.0,2023-06-27
Chemnitz,261.0,3963.0,83.59564809016906,30.0,1410.0,6388.0,2023-06-27
Darmstadt,499.0,18336.0,154.997280733796,60.0,5370.0,24639.0,2023-06-27
Dessau,203.0,3632.0,130.31754053484943,60.0,4980.0,4749.0,2023-06-27
Detmold,128.0,1914.0,93.26752336448598,30.0,2430.0,3424.0,2023-06-27
Dresden,352.0,6956.0,157.9387737771739,30.0,5880.0,11776.0,2023-06-27
Düsseldorf,320.0,18620.0,238.8007397330159,120.0,9390.0,23522.0,2023-06-27
Freiburg,384.0,5301.0,138.39613839574963,60.0,4560.0,7717.0,2023-06-27
Gießen,158.0,2845.0,140.39841957685445,60.0,5430.0,3923.0,2023-06-27
Halle,260.0,3848.0,105.46639687816159,30.0,5100.0,6919.0,2023-06-27
Hamburg,36.0,5715.0,145.49905882352942,60.0,2400.0,8500.0,2023-06-27
Hannover,250.0,6240.0,132.68079523665355,30.0,4200.0,9909.0,2023-06-27
Karlsruhe,698.0,20696.0,183.77932752179328,60.0,8820.0,28105.0,2023-06-27
Kassel,245.0,4141.0,230.17845236006318,60.0,3240.0,5699.0,2023-06-27
Koblenz,377.0,7975.0,274.0859836221672,90.0,4680.0,10502.0,2023-06-27
Köln,455.0,22267.0,208.08694065744518,75.0,3150.0,30147.0,2023-06-27
Leipzig,302.0,10070.0,81.80854609692688,30.0,2160.0,15001.0,2023-06-27
Luneburg,137.0,2330.0,454.2601453664446,60.0,4230.0,3302.0,2023-06-27
Magdeburg,341.0,6297.0,184.6474035869183,60.0,5550.0,8531.0,2023-06-27
Mecklenburg-Vorpommern,575.0,6462.0,83.69677847891066,30.0,1500.0,12044.0,2023-06-27
Mittelfranken,417.0,9939.0,77.7868379009463,30.0,3780.0,16274.0,2023-06-27
Munster,217.0,5581.0,170.48692526955014,60.0,3180.0,8069.0,2023-06-27
Niederbayern,143.0,2335.0,137.36578341013825,60.0,3120.0,3472.0,2023-06-27
Oberbayern,847.0,43043.0,168.6161129161863,60.0,3540.0,57246.0,2023-06-27
Oberfranken,276.0,3766.0,152.5049403046521,60.0,6450.0,4858.0,2023-06-27
Oberpfalz,156.0,1329.0,170.54662921348316,75.0,5370.0,1780.0,2023-06-27
Rheinhessen-Pfalz,709.0,17087.0,205.28753371954187,75.0,7050.0,22613.0,2023-06-27
Saarland,245.0,5711.0,180.889336711193,30.0,6120.0,8684.0,2023-06-27
Schleswig-Holstein,195.0,3256.0,169.2611487691759,30.0,3000.0,5606.0,2023-06-27
Schwaben,355.0,6548.0,197.76680278114998,60.0,4440.0,9061.0,2023-06-27
Stuttgart,474.0,9446.0,178.71459711365003,60.0,9120.0,13304.0,2023-06-27
Thüringen,916.0,10059.0,123.63308861191736,30.0,4500.0,17571.0,2023-06-27
Trier,151.0,3089.0,152.77759237187126,60.0,6870.0,4195.0,2023-06-27
Tübingen,385.0,5894.0,137.40829364618423,60.0,2670.0,8609.0,2023-06-27
Unterfranken,353.0,5817.0,109.91303390576839,60.0,4020.0,9084.0,2023-06-27
Weser-Ems,24.0,505.0,150.8753581661891,60.0,1740.0,698.0,2023-06-27
