region_name,section_count,delay_count,avg_delay,median_delay,max_delay,total_entries,date
Arnsberg,459.0,16385.0,217.3636629322942,120.0,9840.0,20530.0,2023-11-20
Berlin,72.0,6043.0,95.70690956128058,30.0,5100.0,9277.0,2023-11-20
Brandenburg,919.0,16379.0,161.20523963248075,60.0,3780.0,24162.0,2023-11-20
Braunschweig,136.0,2116.0,191.95443716497914,45.0,5580.0,3358.0,2023-11-20
Bremen,9.0,112.0,228.8014705882353,90.0,2430.0,136.0,2023-11-20
Chemnitz,287.0,3745.0,67.93528216351415,30.0,3540.0,6397.0,2023-11-20
Darmstadt,475.0,18980.0,295.1263887073585,150.0,4800.0,22953.0,2023-11-20
Dessau,207.0,3930.0,193.6543391468796,105.0,2550.0,4759.0,2023-11-20
Detmold,127.0,2646.0,226.36473880597015,150.0,3480.0,3216.0,2023-11-20
Dresden,345.0,7233.0,109.20740337506804,30.0,2070.0,11022.0,2023-11-20
Düsseldorf,436.0,25626.0,314.5575020741592,180.0,5670.0,31338.0,2023-11-20
Freiburg,384.0,5866.0,181.70261270491804,90.0,3240.0,7808.0,2023-11-20
Gießen,127.0,3091.0,333.4075730471079,210.0,5010.0,3354.0,2023-11-20
Halle,269.0,4379.0,135.250821140639,30.0,3060.0,6698.0,2023-11-20
Hamburg,36.0,7259.0,184.21362480935434,75.0,5190.0,9835.0,2023-11-20
Hannover,228.0,6114.0,167.49943065360966,60.0,2700.0,8782.0,2023-11-20
Karlsruhe,714.0,22243.0,205.0340578166063,105.0,21720.0,28158.0,2023-11-20
Kassel,255.0,4754.0,198.9541958041958,90.0,4680.0,5720.0,2023-11-20
Koblenz,365.0,7461.0,290.992713494608,90.0,4590.0,10293.0,2023-11-20
Köln,452.0,21561.0,257.1482905193125,112.5,3720.0,27055.0,2023-11-20
Leipzig,264.0,7974.0,140.68293718166385,45.0,3540.0,11780.0,2023-11-20
Luneburg,133.0,2636.0,341.9996921182266,120.0,10380.0,3248.0,2023-11-20
Magdeburg,358.0,7151.0,170.9665157418132,60.0,2910.0,9497.0,2023-11-20
Mecklenburg-Vorpommern,519.0,5660.0,111.37165519877676,30.0,4920.0,10464.0,2023-11-20
Mittelfranken,427.0,13235.0,153.9181952226482,75.0,3960.0,16955.0,2023-11-20
Munster,229.0,6962.0,324.33172438759505,180.0,11400.0,8287.0,2023-11-20
Niederbayern,143.0,2274.0,142.53990746096008,60.0,3180.0,3458.0,2023-11-20
Oberbayern,856.0,44738.0,172.3435351055866,105.0,8070.0,57441.0,2023-11-20
Oberfranken,258.0,3686.0,212.1138439915671,135.0,3600.0,4269.0,2023-11-20
Oberpfalz,156.0,1388.0,161.27712197863968,142.5,1560.0,1779.0,2023-11-20
Rheinhessen-Pfalz,693.0,16916.0,223.8765426283561,120.0,4590.0,21230.0,2023-11-20
Saarland,250.0,6702.0,129.45152198421647,60.0,1980.0,8870.0,2023-11-20
Schleswig-Holstein,140.0,2473.0,224.93399715504978,82.5,4140.0,3515.0,2023-11-20
Schwaben,351.0,6015.0,206.5498018156246,90.0,4830.0,7821.0,2023-11-20
Stuttgart,526.0,12261.0,224.50388914308124,120.0,4260.0,15299.0,2023-11-20
Thüringen,951.0,12023.0,162.45262477093888,60.0,5580.0,18554.0,2023-11-20
Trier,123.0,2659.0,194.2951367781155,90.0,3240.0,3290.0,2023-11-20
Tübingen,366.0,6494.0,264.2209329860289,120.0,4920.0,8446.0,2023-11-20
Unterfranken,365.0,6757.0,208.16476469948918,60.0,4830.0,9201.0,2023-11-20
Weser-Ems,28.0,734.0,281.8293299620733,240.0,2400.0,791.0,2023-11-20
