region_name,section_count,delay_count,avg_delay,median_delay,max_delay,total_entries,date
Arnsberg,485.0,11145.0,121.28044431452791,60.0,4740.0,17105.0,2023-09-02
Berlin,80.0,5413.0,61.16423191052271,30.0,3540.0,8762.0,2023-09-02
Brandenburg,914.0,11817.0,83.79560252901764,30.0,4380.0,21194.0,2023-09-02
Braunschweig,129.0,1631.0,88.71288857841425,30.0,4230.0,2863.0,2023-09-02
Bremen,9.0,59.0,149.50632911392404,45.0,1470.0,79.0,2023-09-02
Chemnitz,300.0,2799.0,56.3390201909532,0.0,2700.0,6389.0,2023-09-02
Darmstadt,436.0,15425.0,139.6882284943647,60.0,3810.0,20762.0,2023-09-02
Dessau,189.0,2910.0,168.69976605146869,60.0,3180.0,3847.0,2023-09-02
Detmold,123.0,1740.0,153.5209653092006,0.0,5070.0,3315.0,2023-09-02
Dresden,362.0,5298.0,92.10815235184982,30.0,2040.0,9163.0,2023-09-02
Düsseldorf,370.0,18344.0,213.627335959105,90.0,5730.0,23866.0,2023-09-02
Freiburg,336.0,4492.0,210.94490119717295,60.0,10560.0,6933.0,2023-09-02
Gießen,146.0,2332.0,169.1068095402696,75.0,5730.0,2893.0,2023-09-02
Halle,243.0,3227.0,106.08156151969327,30.0,3120.0,5738.0,2023-09-02
Hamburg,35.0,5702.0,77.54343144292893,0.0,5160.0,9751.0,2023-09-02
Hannover,234.0,5486.0,154.50144891016757,60.0,5310.0,7937.0,2023-09-02
Karlsruhe,621.0,14739.0,148.83505961423376,60.0,5370.0,21723.0,2023-09-02
Kassel,233.0,3643.0,142.73463455149502,75.0,5790.0,4816.0,2023-09-02
Koblenz,354.0,6742.0,213.26248923341947,60.0,2670.0,9288.0,2023-09-02
Köln,463.0,18543.0,227.32901035061164,60.0,7200.0,24443.0,2023-09-02
Leipzig,302.0,8165.0,99.73245649210041,30.0,4740.0,12469.0,2023-09-02
Luneburg,139.0,2096.0,373.53846153846155,60.0,21840.0,2847.0,2023-09-02
Magdeburg,345.0,4760.0,122.63529576283037,45.0,4200.0,7151.0,2023-09-02
Mecklenburg-Vorpommern,551.0,4781.0,69.37622500980008,30.0,3690.0,10204.0,2023-09-02
Mittelfranken,332.0,7935.0,125.7147704947312,30.0,3870.0,11198.0,2023-09-02
Munster,223.0,5562.0,177.8943939188272,60.0,3240.0,7367.0,2023-09-02
Niederbayern,137.0,1903.0,265.65106382978723,60.0,9870.0,3055.0,2023-09-02
Oberbayern,746.0,29428.0,103.73285031276986,30.0,7740.0,47479.0,2023-09-02
Oberfranken,246.0,3075.0,251.72520876826724,67.5,2580.0,3832.0,2023-09-02
Oberpfalz,129.0,1130.0,372.1069266980498,105.0,8850.0,1487.0,2023-09-02
Rheinhessen-Pfalz,684.0,14331.0,123.23848091263766,60.0,4740.0,20249.0,2023-09-02
Saarland,229.0,4710.0,125.8424687095382,60.0,4740.0,6951.0,2023-09-02
Schleswig-Holstein,167.0,2567.0,101.71566366114489,30.0,2280.0,4769.0,2023-09-02
Schwaben,315.0,5179.0,359.8593105480259,120.0,5130.0,6788.0,2023-09-02
Stuttgart,376.0,6053.0,115.10287056900603,60.0,5490.0,9789.0,2023-09-02
Thüringen,920.0,7912.0,96.16201117318435,30.0,3900.0,14678.0,2023-09-02
Trier,160.0,3467.0,224.0211733568593,60.0,3300.0,4534.0,2023-09-02
Tübingen,311.0,3643.0,125.38758528873356,60.0,1740.0,6009.0,2023-09-02
Unterfranken,361.0,4450.0,155.45307399347115,30.0,7290.0,7352.0,2023-09-02
Weser-Ems,29.0,587.0,184.2245398773006,90.0,2190.0,815.0,2023-09-02
