region_name,section_count,delay_count,avg_delay,median_delay,max_delay,total_entries,date
Arnsberg,454.0,9830.0,104.29136189481017,30.0,3360.0,17226.0,2023-10-21
Berlin,75.0,4064.0,54.0080940938409,30.0,2640.0,7907.0,2023-10-21
Brandenburg,934.0,11259.0,79.43585865530042,30.0,3630.0,21819.0,2023-10-21
Braunschweig,123.0,1275.0,67.38300988648847,15.0,1230.0,2731.0,2023-10-21
Bremen,9.0,89.0,101.96825396825396,45.0,570.0,126.0,2023-10-21
Chemnitz,308.0,2625.0,108.82639860139861,0.0,2880.0,5720.0,2023-10-21
Darmstadt,399.0,12994.0,151.90594979857454,60.0,3600.0,19362.0,2023-10-21
Dessau,189.0,2530.0,96.52689832689833,30.0,2340.0,3885.0,2023-10-21
Detmold,112.0,1687.0,119.45478812145478,30.0,2190.0,2997.0,2023-10-21
Dresden,349.0,4933.0,113.62768277286813,30.0,7020.0,8713.0,2023-10-21
Düsseldorf,389.0,15598.0,165.91632815444532,60.0,4290.0,23879.0,2023-10-21
Freiburg,317.0,3762.0,138.267492359659,30.0,4050.0,6217.0,2023-10-21
Gießen,135.0,1703.0,125.18109610802225,60.0,1830.0,2518.0,2023-10-21
Halle,239.0,2918.0,97.39089620970599,0.0,4020.0,5646.0,2023-10-21
Hamburg,32.0,1866.0,55.556624888093104,0.0,2820.0,4468.0,2023-10-21
Hannover,242.0,3201.0,63.06510969568294,0.0,5040.0,9891.0,2023-10-21
Karlsruhe,607.0,12845.0,102.26319733945384,30.0,8310.0,21349.0,2023-10-21
Kassel,227.0,3123.0,156.75634517766497,60.0,2700.0,4728.0,2023-10-21
Koblenz,351.0,4975.0,162.91623590225564,30.0,5340.0,8512.0,2023-10-21
Köln,436.0,14769.0,144.61090650372478,60.0,4560.0,23894.0,2023-10-21
Leipzig,298.0,7242.0,66.47645644247925,30.0,1920.0,12891.0,2023-10-21
Luneburg,130.0,1530.0,114.41037909458962,30.0,6180.0,2717.0,2023-10-21
Magdeburg,340.0,4023.0,84.95520530900042,30.0,2580.0,7233.0,2023-10-21
Mecklenburg-Vorpommern,519.0,4182.0,92.97863296955772,30.0,3000.0,8705.0,2023-10-21
Mittelfranken,398.0,8191.0,117.87330316742081,30.0,10680.0,13702.0,2023-10-21
Munster,212.0,4461.0,151.31813078866125,30.0,3270.0,7126.0,2023-10-21
Niederbayern,141.0,2151.0,220.18823529411765,90.0,8520.0,3145.0,2023-10-21
Oberbayern,775.0,22453.0,132.89599697681325,60.0,10800.0,37047.0,2023-10-21
Oberfranken,270.0,2790.0,158.7243557352198,60.0,2670.0,3958.0,2023-10-21
Oberpfalz,138.0,1075.0,193.36369863013698,75.0,2220.0,1460.0,2023-10-21
Rheinhessen-Pfalz,636.0,11093.0,115.54831141906268,30.0,10080.0,18329.0,2023-10-21
Saarland,240.0,4376.0,95.29462623038042,30.0,4800.0,7518.0,2023-10-21
Schleswig-Holstein,160.0,2762.0,199.7219298245614,60.0,7170.0,4560.0,2023-10-21
Schwaben,292.0,3485.0,213.76574977817214,60.0,4020.0,5635.0,2023-10-21
Stuttgart,385.0,6758.0,112.37236842105263,30.0,6900.0,11400.0,2023-10-21
Thüringen,909.0,8467.0,173.89957452556223,30.0,3840.0,14807.0,2023-10-21
Trier,143.0,2708.0,194.15551583248214,60.0,6000.0,3916.0,2023-10-21
Tübingen,340.0,4646.0,155.4932441844268,60.0,2400.0,7179.0,2023-10-21
Unterfranken,353.0,4198.0,114.99245873648265,30.0,2250.0,7028.0,2023-10-21
Weser-Ems,17.0,294.0,182.5235294117647,30.0,2940.0,510.0,2023-10-21
