eva,ds100,lat,lon,name,is_active_ris,is_active_iris,meta_evas,available_transports,number_of_events
8000389,THF,48.482485,8.724052,Hochdorf(b Horb),True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],45320.0
975669,DOK D,51.186314,13.831028,"Dresdner Straße, Ottendorf-Okrilla",True,True,[],[],1600.0
420353,D420353,49.580038,9.718127,"Gerlachsheim Sonne, Lauda-Königshofen",True,True,[],['REGIONAL_TRAIN' 'BUS' 'SHUTTLE'],6.0
8005947,NU,49.551264,10.242887,Uffenheim,True,True,[],['REGIONAL_TRAIN'],25332.0
8005157,TROM,48.81554,9.319344,Rommelshausen,True,True,[],['CITY_TRAIN'],75580.0
8003987,KMES,50.77048,7.385657,Merten(Sieg),True,True,[364846 443828],['CITY_TRAIN'],47452.0
837275,PQHIH,49.34489,6.937325,"In der Hommersbach, Heusweiler",True,True,[],['TRAM'],37958.0
504672,,47.855144,7.780592,"Untermünstertal Bahnhof, Münstertal (Schwarzwald)",True,False,[],['BUS'],
8079777,BWZ B,52.066023,14.713377,Neißemünde-Wellmitz Bahnhof,True,True,[],[],72.0
5400198,XTL,50.761432,15.04595,Liberec,True,True,[],['REGIONAL_TRAIN'],49144.0
8001054,NBOE,49.278381,12.325948,Bodenwöhr Nord,True,True,[],['REGIONAL_TRAIN'],24884.0
8700433,XFOR,44.137554,4.819398,Orange(Avignon),True,True,[],['HIGH_SPEED_TRAIN' 'REGIONAL_TRAIN'],
8000390,KHOK,51.103293,6.466316,Hochneukirch,True,True,[],['REGIONAL_TRAIN'],43416.0
8400390,XNL,52.166263,4.481965,Leiden Centraal,True,True,[],['INTERCITY_TRAIN' 'REGIONAL_TRAIN'],
8800145,XBZO,51.033604,5.329992,Zolder,True,True,[],['INTERCITY_TRAIN' 'REGIONAL_TRAIN'],3704.0
627888,D627888,53.565774,9.526397,"Hauptstraße 13, Agathenburg",True,True,[8000434],['REGIONAL_TRAIN' 'BUS'],214.0
8010261,LOE,52.439275,10.983852,Oebisfelde,True,True,[],['REGIONAL_TRAIN'],36998.0
8012516,UNSA,51.515111,10.77314,Nordhausen-Salza,True,True,[],['REGIONAL_TRAIN'],23262.0
8006061,HVCH,52.728904,8.280367,Vechta,True,True,[],['REGIONAL_TRAIN'],26025.0
8302814,XIIT,46.207241,8.206997,Iselle di Trasquera,True,True,[],['REGIONAL_TRAIN'],760.0
8012046,LKLM,51.508306,12.228895,Klitschmar,True,True,[],['CITY_TRAIN'],18514.0
170064,,49.003263,8.386213,"Arbeitsagentur, Karlsruhe",True,False,[],[],
170064,,49.003263,8.386213,"1700 Dilbeek, A. Waucquezlaan",False,False,[],[],
371041,PQKYN,49.011064,8.375218,"Yorckstraße, Karlsruhe",True,True,[372041 721470],['CITY_TRAIN' 'TRAM'],55910.0
8700847,OFCDC,43.660519,7.167078,Cros-de-Cagnes,True,True,[],['REGIONAL_TRAIN'],12782.0
119148,D119148,50.230996,9.11498,"Mittel-Gründau Weißwiesenstraße, Gründau",True,True,[8004037],['REGIONAL_TRAIN' 'BUS'],18.0
8200520,XLKB,49.64381,5.91621,Kleinbettingen,True,True,[],['INTERCITY_TRAIN' 'REGIONAL_TRAIN'],30595.0
8503411,OSKOD,47.609389,8.240139,Koblenz Dorf,True,True,[],['CITY_TRAIN'],
8701472,OFLWZ,48.665266,7.824767,La Wantzenau,True,True,[],['REGIONAL_TRAIN'],816.0
8072789,,52.29874,13.62905,Königs Wusterhausen Brückenstraße,True,False,[],[],
8072789,,52.29874,13.62905,"8072 AA Nunspeet, Heemskerklaan",False,False,[],[],
8601512,XDLU,55.48012,9.303791,Lunderskov st,True,True,[],['INTERCITY_TRAIN'],10297.0
726017,,52.499502,12.458587,"Pritzerbe Bahnhof, Havelsee",True,False,[],['REGIONAL_TRAIN' 'BUS' 'SHUTTLE'],
8089053,BSRW,52.531976,13.209125,Berlin-Stresow,True,True,[],['CITY_TRAIN'],160520.0
127679,FMGRB,49.772315,8.991846,"Mümling-Grumbach B45, Höchst i. Odw.",True,True,[8004125],['REGIONAL_TRAIN' 'BUS'],14.0
5600010,D5600010,48.828498,17.518446,Vrbovce(Gr),True,True,[],['REGIONAL_TRAIN'],
8005903,NTRI,48.969669,13.052686,Triefenried,True,True,[],['REGIONAL_TRAIN'],25541.0
8005923,MTLG,48.2118803,12.5890768,Tüßling,True,True,[],['REGIONAL_TRAIN'],53598.0
5400740,OTCPI,49.495923,13.305024,Cervene Porici,True,True,[],['REGIONAL_TRAIN'],634.0
8000206,KKO,50.350929,7.588345,Koblenz Hbf,True,True,[350156 350180 350454],"['HIGH_SPEED_TRAIN' 'INTERCITY_TRAIN' 'INTER_REGIONAL_TRAIN' 'REGIONAL_TRAIN']",199360.0
5400864,OTDBE,50.389752,14.435708,Dolni Berkovice,True,True,[],['REGIONAL_TRAIN'],100.0
5104660,XPWLP,50.858107,19.947003,Wloszczowa Polnoc,True,True,[],['INTERCITY_TRAIN' 'INTER_REGIONAL_TRAIN'],3330.0
8002494,KHAC,50.664001,7.822895,Hachenburg,True,True,[],['REGIONAL_TRAIN'],25073.0
8100780,XAFX,47.887372,16.248109,Felixdorf,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],9778.0
8006669,RZS,47.837798,8.557175,Blumberg-Zollhaus,True,True,[],['REGIONAL_TRAIN'],4298.0
502379,,47.608703,8.172286,"Linde, Dogern",True,False,[],['BUS'],
8002290,KGL,50.971261,6.589633,Glesch,True,True,[],['REGIONAL_TRAIN'],40920.0
8070294,DOG S,50.934271,14.01317,"Obervogelgesang,Struppen Südstr.",True,True,[],[],134.0
8005750,TSTR,48.178747,9.087718,Straßberg-Winterlingen,True,True,[],['REGIONAL_TRAIN'],11982.0
547247,D547247,50.184164,12.139423,"Vishay, Selb",True,True,[],['BUS' 'SHUTTLE'],1444.0
504172,,47.675646,9.162455,"Stadtwerke, Konstanz",True,False,[],['BUS'],
8012727,DRBG,50.733931,13.559902,Rechenberg,True,True,[],['REGIONAL_TRAIN'],19264.0
8001827,TERD,48.948229,9.299405,Erdmannhausen,True,True,[561030],['CITY_TRAIN'],9978.0
8001489,HDVD,52.846407,9.246334,Dörverden,True,True,[],['REGIONAL_TRAIN'],30814.0
8003664,NLWI,49.2949,10.4401,Leutershausen-Wiedersbach,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],25918.0
8400690,ONWEZ,52.45406,6.00258,Wezep,True,True,[],['REGIONAL_TRAIN'],
8005714,RSS,49.235822,8.907978,Steinsfurt,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],57132.0
638783,,52.391675,9.594314,Seelze,True,False,[],['BUS' 'SHUTTLE'],
8005409,RSOM,48.605345,8.369354,Schönmünzach,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],36638.0
422394,,48.950075,9.301942,"Schweißbrücke, Erdmannhausen",True,False,[],[],
422394,,48.950075,9.301942,"4223 Blauen, Auf Wuhr",False,False,[],[],
8007310,RBAR,48.118019,7.747776,Bahlingen Riedlen,True,True,[],['CITY_TRAIN'],45040.0
5602585,OTPUY,49.107542,18.316757,Puchov-zavody,True,True,[],['REGIONAL_TRAIN'],3046.0
698792,D698792,54.541305,9.820675,"Bahnhof, Rieseby",True,True,[8005095],['REGIONAL_TRAIN' 'BUS'],1391.0
8501030,OSNY,46.384319,6.235617,Nyon,True,True,[],['INTERCITY_TRAIN' 'INTER_REGIONAL_TRAIN' 'REGIONAL_TRAIN'],27620.0
8006624,NWLZ,50.253194,11.99001,Wurlitz,True,True,[],['REGIONAL_TRAIN'],27770.0
954881,,51.648484,11.115732,"Alexisbad Bahnhof (Bus), Harzgerode",True,False,[],['BUS'],
732076,D732076,52.470241,13.464563,"Dammweg/Sonnenallee, Berlin",True,True,[],['BUS'],5752.0
8000410,MABG,48.819456,11.84662,Abensberg,True,True,[540965],['REGIONAL_TRAIN'],29125.0
8006436,HWIH,52.89782,8.431422,Wildeshausen,True,True,[],['REGIONAL_TRAIN'],25493.0
8005724,TSHG,49.136913,9.014726,Stetten am Heuchelberg,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],41488.0
8004616,KODE,50.651162,6.879764,Swisttal-Odendorf,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],56924.0
8071256,WKV N,54.0098021,12.1994457,Kavelstorf Neubau,True,True,[8012002],['REGIONAL_TRAIN'],550.0
710446,FKBH1,51.3096,9.521289,"KVG-Betriebshof, Kassel",True,True,[],['BUS' 'SHUTTLE'],
8011836,LHY,51.027594,12.065243,Haynsburg,True,True,[],[],
8001694,FEHR,50.595066,8.383841,Ehringshausen(Kr Wetzlar),True,True,[],['REGIONAL_TRAIN'],30326.0
722326,RRUT,48.97107,8.404045,"Rüppurr Tulpenstraße, Karlsruhe",True,True,[],['CITY_TRAIN'],136228.0
8007061,ABOS,54.017738,10.0162,Boostedt,True,True,[],['REGIONAL_TRAIN'],28774.0
8070906,RH  P,49.406888,8.689936,Heidelberg Poststraße,True,True,[],[],
711438,D711438,51.372062,9.472367,Vellmar Nord,True,True,[],['TRAM' 'BUS' 'SHUTTLE'],39.0
8011802,DHA,50.968095,13.119057,Hainichen,True,True,[],['REGIONAL_TRAIN'],12083.0
8602867,XDVY,55.009494,8.802019,Visby st,True,True,[],[],2922.0
8400296,ONHA,53.170445,5.425141,Harlingen(NL),True,True,[],['REGIONAL_TRAIN'],
8000544,RAT,47.859392,8.114113,Altglashütten-Falkau,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],19864.0
8010116,DFH,50.988898,13.637938,Freital-Hainsberg,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],57556.0
8002641,HHTF,51.646223,10.235999,Hattorf,True,True,[],['REGIONAL_TRAIN'],26036.0
940401,D940401,48.912624,8.505807,"Langensteinbach Volksbank, Karlsbad",True,True,[],['REGIONAL_TRAIN' 'BUS'],360.0
8002754,EHNE,51.437155,7.646847,Hennen,True,True,[],['REGIONAL_TRAIN'],37232.0
8001406,SDE,49.227782,7.469169,Dellfeld,True,True,[],['REGIONAL_TRAIN'],22328.0
8300095,XICER,45.823935,13.343708,Cervignano-Aquileia-Grado,True,True,[],['REGIONAL_TRAIN'],358.0
8000865,TBEM,48.572364,9.273425,Bempflingen,True,True,[],['REGIONAL_TRAIN'],28606.0
8503413,OSKAI,47.566446,8.419164,Kaiserstuhl AG,True,True,[],['CITY_TRAIN'],
8002814,FHH,50.448397,9.814657,Hettenhausen,True,True,[],['REGIONAL_TRAIN'],22064.0
8005602,RSOH,49.194981,8.360272,Sondernheim,True,True,[235002 509812],['CITY_TRAIN'],45212.0
8005723,TSTD,48.022814,8.872354,Stetten(Donau),True,True,[],['REGIONAL_TRAIN'],6024.0
8011072,DBEL,50.296672,12.256286,Bad Elster,True,True,[],['REGIONAL_TRAIN'],10424.0
8070019,KKBA,50.585644,7.260031,Kasbach,True,True,[],['REGIONAL_TRAIN'],3860.0
