from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay
8000001,8000001,59,87,133,30,1380
8000001,8000085,21,22,363,270,930
8000001,8000086,15,21,117,30,750
8000001,8000207,6,7,351,180,1440
8000001,8000208,28,41,92,60,690
8000002,8000002,12,16,195,120,840
8000002,8000078,9,17,44,30,180
8000002,8000329,10,17,76,30,330
8000002,8001751,7,8,236,180,840
8000004,8000004,59,105,183,30,2520
8000004,8000036,8,13,65,30,450
8000004,8000152,18,18,325,300,810
8000004,8000162,10,17,41,30,120
8000004,8000196,14,17,356,90,2580
8000004,8000297,43,53,250,120,1950
8000009,8000009,70,98,151,60,2130
8000009,8000067,13,18,62,60,210
8000009,8000091,12,22,68,30,600
8000009,8000122,18,25,287,90,1740
8000009,8000260,1,1,210,210,210
8000009,8000284,52,63,95,90,750
8000013,8000009,1,1,240,240,240
8000013,8000013,123,152,491,120,6690
8000013,8000057,20,48,63,0,1260
8000013,8000078,13,17,214,90,1410
8000013,8000139,29,34,656,210,5250
8000013,8000170,21,23,184,120,630
8000013,8000261,9,10,882,375,3990
8000013,8004158,72,89,440,150,6720
8000025,8000025,72,92,221,120,2280
8000025,8000228,38,53,106,60,1200
8000025,8000260,35,36,162,120,1470
8000025,8000284,3,5,558,330,1770
8000025,8001844,32,44,172,90,870
8000025,8010101,9,13,279,90,2190
8000029,8000029,73,76,327,150,2820
8000029,8000115,24,25,474,360,2790
8000029,8000128,3,3,120,150,150
8000029,8003200,31,39,259,150,1410
8000029,8010097,17,18,157,90,540
8000031,8000031,102,131,314,120,5100
8000031,8000068,53,65,420,180,5100
8000031,8000244,1,1,210,210,210
8000031,8000377,55,66,186,60,1830
8000036,8000004,13,14,129,90,540
8000036,8000036,94,126,554,120,6090
8000036,8000149,22,30,385,150,1320
8000036,8000152,24,30,865,360,3030
8000036,8000162,53,77,403,60,6090
8000036,8000252,0,1,-60,-60,-60
8000036,8000732,1,1,30,30,30
8000036,8002461,44,67,113,60,1500
8000039,8000039,62,78,264,150,2520
8000039,8000045,31,40,130,90,630
8000039,8000189,22,24,186,180,690
