from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay
8000080,8000087,1,1,690,690,690
8000080,8000142,32,36,308,90,2550
8000080,8000149,76,89,701,150,6630
8000080,8000192,69,84,140,60,990
8000080,8000227,2,2,990,990,1860
8000080,8000251,69,72,90,90,390
8000080,8000263,24,35,449,90,3240
8000080,8000294,1,1,1410,1410,1410
8000080,8000307,15,18,167,120,540
8000080,8000961,50,65,108,60,1260
8000082,8000082,183,290,366,60,7380
8000082,8000085,110,141,609,120,7380
8000082,8000086,102,149,162,60,4680
8000085,8000001,5,5,846,60,3750
8000085,8000082,90,149,134,30,4620
8000085,8000085,537,689,283,60,7290
8000085,8000086,42,50,392,210,2040
8000085,8000087,25,41,153,30,1800
8000085,8000098,39,47,268,60,3150
8000085,8000207,80,96,522,90,6000
8000085,8000266,78,106,101,60,1260
8000085,8001773,1,1,60,60,60
8000085,8003368,33,38,1236,705,7200
8000085,8073368,23,30,382,180,2430
8000086,8000001,2,4,22,15,60
8000086,8000082,100,141,603,120,7380
8000086,8000085,41,49,639,270,4830
8000086,8000086,323,452,397,90,7410
8000086,8000098,65,77,360,150,2520
8000086,8000118,6,6,270,225,570
8000086,8000259,94,146,189,60,4650
8000087,8000080,2,3,570,900,1020
8000087,8000085,18,42,139,0,4650
8000087,8000087,98,128,613,135,5490
8000087,8000206,1,1,180,180,180
8000087,8000207,11,11,955,810,2640
8000087,8000266,57,62,755,150,6240
8000087,8003368,37,50,467,75,3780
8000087,8073368,4,7,343,330,1410
8000091,8000009,8,20,124,0,1020
8000091,8000091,15,39,127,0,1770
8000091,8000260,9,19,136,0,1560
8000095,8000095,27,39,65,30,480
8000095,8000298,1,1,30,30,30
8000095,8000301,0,1,-30,-30,-30
8000095,8000309,4,4,172,105,450
8000096,8000055,0,2,-15,-15,0
8000096,8000096,64,72,473,180,3540
8000096,8000127,1,1,510,510,510
8000096,8000156,9,12,105,75,510
8000096,8000170,19,20,1144,555,3660
8000096,8000191,2,2,210,210,270
8000096,8000235,16,18,400,165,3480
8000096,8000244,7,10,225,90,1170
8000096,8000302,1,1,210,210,210
8000096,8000329,5,7,56,30,240
8000096,8001055,25,42,109,30,540
8000096,8001920,17,17,154,150,330
8000096,8005424,7,9,73,30,300
8000096,8005776,2,3,20,30,30
8000096,8006053,23,41,75,30,330
8000096,8006421,0,1,0,0,0
8000096,8070003,8,8,810,675,2220
8000098,8000041,129,176,375,90,4170
8000098,8000080,1,1,90,90,90
8000098,8000085,38,49,169,30,2970
8000098,8000086,54,65,538,240,4170
8000098,8000098,384,555,386,90,7170
8000098,8000118,85,100,374,105,2610
8000098,8000147,0,1,0,0,0
8000098,8000259,123,192,495,60,7140
8000098,8000263,5,5,474,240,1320
8000098,8002549,1,1,390,390,390
8000101,8000101,36,50,104,45,900
8000101,8000177,12,15,114,60,300
8000101,8001833,13,24,46,30,480
8000102,8000102,22,50,55,0,450
8000102,8002370,12,25,74,0,450
8000102,8004838,7,26,38,0,240
8000103,8000103,2,4,30,15,90
8000103,8000312,0,2,0,0,0
8000103,8005362,5,19,14,0,90
8000105,8000068,46,65,208,90,1530
8000105,8000105,59,72,481,165,5250
8000105,8000111,12,19,197,90,990
8000105,8000115,6,10,153,60,780
8000105,8000150,14,17,662,360,3660
8000105,8000156,0,1,-330,-330,-330
8000105,8000191,3,3,1890,420,4830
8000105,8000240,11,14,186,45,1830
8000105,8000244,15,21,260,60,2190
8000105,8000260,10,15,82,60,780
8000105,8002041,57,70,176,90,1740
8000105,8002042,0,2,0,0,0
8000105,8003200,1,1,450,450,450
8000105,8010097,0,1,-360,-360,-360
8000105,8010101,3,6,280,15,1650
8000105,8070003,35,46,323,90,3300
8000105,8070004,16,27,284,30,1710
8000107,8000107,73,112,388,75,5820
8000107,8000191,1,1,300,300,300
8000107,8000290,27,37,193,60,1500
8000107,8000774,0,1,0,0,0
8000108,8000108,24,38,54,30,1140
8000108,8000116,4,4,68,60,120
8000111,8000105,11,15,682,390,2760
8000111,8000111,66,84,341,135,2550
8000111,8000124,10,16,214,30,1650
8000111,8000150,31,32,293,120,1770
8000111,8000728,28,37,210,90,1320
8000114,8000114,183,251,109,60,1890
8000114,8000260,18,19,249,90,1950
8000114,8000284,73,123,87,30,660
8000114,8001844,54,81,101,30,750
8000115,8000029,18,22,158,30,1050
8000115,8000105,8,12,280,75,1530
8000115,8000115,99,133,664,180,4260
8000115,8000150,37,40,556,90,4440
8000115,8000152,0,1,0,0,0
8000115,8000260,25,25,1382,1440,3900
8000115,8002041,7,8,322,270,840
8000115,8003200,39,45,509,240,2670
8000115,8010097,15,15,590,450,2160
8000115,8010101,3,3,1000,60,2910
8000116,8000108,0,4,0,0,0
8000116,8000116,4,8,-11,30,150
8000116,8004885,4,4,60,60,90
8000118,8000085,4,4,412,330,870
8000118,8000086,3,3,530,210,1320
8000118,8000098,94,107,514,180,2970
8000118,8000118,224,282,375,120,2790
8000118,8000192,116,151,322,90,2640
8000118,8000263,2,3,980,360,2640
