from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay
8000001,8000001,45,76,176,30,1320
8000001,8000085,14,19,145,60,810
8000001,8000086,18,21,324,90,1740
8000001,8000207,3,3,450,300,780
8000001,8000208,2,2,510,510,660
8000002,8000078,11,15,80,60,240
8000002,8000170,6,7,43,30,90
8000004,8000004,35,102,101,0,2670
8000004,8000036,9,13,60,30,180
8000004,8000152,11,18,112,30,1200
8000004,8000162,10,18,152,30,1800
8000004,8000196,7,14,26,15,120
8000004,8000297,32,52,133,30,2640
8000009,8000009,65,91,141,30,4170
8000009,8000067,11,15,124,90,540
8000009,8000091,11,20,63,30,330
8000009,8000122,9,21,24,0,150
8000009,8000284,40,57,164,90,3990
8000013,8000013,90,140,219,30,4020
8000013,8000057,13,40,22,0,180
8000013,8000078,16,20,138,60,1980
8000013,8000139,25,32,127,60,630
8000013,8000170,17,28,201,30,1950
8000013,8000261,2,3,280,150,690
8000013,8000262,4,4,112,105,180
8000013,8004158,60,71,319,60,4050
8000025,8000025,93,112,255,120,4110
8000025,8000228,40,51,204,60,4140
8000025,8000260,17,17,480,180,2370
8000025,8000284,5,6,405,285,1260
8000025,8001844,63,70,357,240,1620
8000025,8010101,11,14,107,90,330
8000029,8000029,53,56,148,90,690
8000029,8000115,18,22,136,90,390
8000029,8003200,24,27,122,90,570
8000029,8010097,9,11,82,30,240
8000031,8000031,88,114,87,60,390
8000031,8000068,22,29,68,60,210
8000031,8000377,50,74,84,30,390
8000036,8000004,13,14,182,90,870
8000036,8000036,91,118,589,135,3210
8000036,8000149,26,30,350,120,1290
8000036,8000152,28,29,1349,1140,3060
8000036,8000162,41,74,237,30,3120
8000036,8000252,0,1,-60,-60,-60
8000036,8002461,41,64,138,30,2580
8000039,8000039,65,80,330,150,3240
8000039,8000045,25,33,195,150,870
8000039,8000105,1,1,600,600,600
8000039,8000189,19,22,110,120,270
8000039,8000206,6,6,565,120,2910
8000039,8000240,30,35,409,120,3330
8000041,8000041,261,368,334,60,13380
8000041,8000080,117,153,389,120,6000
8000041,8000098,119,181,326,60,13380
8000041,8000192,21,22,80,60,240
8000041,8000251,27,34,114,60,420
8000044,8000044,137,169,584,210,5580
8000044,8000206,16,17,678,330,3210
8000044,8000207,88,91,735,300,6600
8000044,8000310,56,63,497,270,3540
8000045,8000039,27,34,421,135,3360
8000045,8000045,53,68,315,150,3390
8000045,8000206,26,34,186,90,1110
8000046,8000046,21,24,459,105,3570
8000046,8000074,12,12,870,375,3600
8000046,8000532,1,2,270,270,540
8000046,8003020,22,39,45,30,420
8000046,8005556,12,18,98,30,1170
8000049,8000049,30,49,173,60,2010
8000049,8000128,8,9,130,120,390
8000049,8000152,8,16,69,15,420
8000049,8000159,13,25,83,30,720
8000049,8006552,2,2,195,195,270
8000049,8010224,9,15,340,120,2070
8000050,8000050,78,96,270,60,3840
8000050,8000070,21,29,92,60,480
8000050,8000147,13,18,595,105,3750
8000050,8000152,1,2,0,0,90
8000050,8000263,2,4,120,30,450
8000050,8000294,17,19,390,90,2280
8000050,8001443,16,22,95,30,300
8000050,8006076,18,30,61,30,840
8000055,8000055,186,261,93,30,1710
8000055,8000096,0,2,0,0,0
8000055,8000156,1,1,900,900,900
8000055,8000191,4,5,270,60,690
8000055,8000339,10,11,46,30,120
8000055,8001920,1,4,0,0,120
8000055,8003184,88,122,111,60,1740
8000055,8006421,35,62,67,30,480
8000057,8000013,35,40,160,90,540
8000057,8000057,114,147,182,90,1920
8000057,8000194,36,51,81,30,510
8000057,8000249,15,27,61,30,240
8000057,8004158,40,46,284,120,1890
8000058,8000058,31,34,468,210,4680
8000058,8002549,5,5,1290,120,4740
8000058,8002554,13,21,284,30,3180
8000058,8010216,7,7,347,270,990
8000058,8010324,9,10,276,240,780
8000059,8000059,36,49,140,60,960
8000059,8000162,21,35,81,30,900
8000059,8000252,3,3,380,360,750
8000059,8000294,21,24,176,150,720
8000059,8000732,2,2,45,45,60
8000064,8000064,12,19,314,60,3240
8000064,8000152,31,48,150,30,3330
8000064,8000168,7,10,204,120,960
8000067,8000009,14,15,278,120,2160
8000067,8000067,28,29,114,60,450
8000067,8000096,13,16,109,75,480
8000068,8000031,18,31,105,30,480
8000068,8000068,38,61,107,60,810
8000068,8000105,31,45,47,30,360
8000068,8000377,1,1,30,30,30
8000068,8002041,20,49,32,0,360
8000070,8000050,12,29,81,0,960
8000070,8000070,39,58,99,30,1020
8000070,8000291,1,2,255,255,540
8000070,8000522,16,27,66,60,240
8000073,8000073,32,70,176,0,3150
8000073,8000163,7,13,138,60,480
8000073,8000290,1,1,90,90,90
8000073,8001790,19,34,104,45,1170
8000073,8003400,11,21,310,30,3120
8000074,8000046,8,11,55,30,120
8000074,8000074,10,14,604,75,3630
8000074,8000383,25,26,414,90,3690
8000076,8000076,72,97,195,60,2130
8000076,8000149,40,48,185,90,2160
8000076,8000571,39,49,235,60,1440
8000078,8000002,14,16,159,120,420
8000078,8000013,7,28,-11,0,120
8000078,8000078,1,12,-45,0,30
8000078,8000122,11,18,45,30,330
8000080,8000041,121,147,400,120,13290
8000080,8000080,194,239,439,150,6780
8000080,8000098,1,1,60,60,60
8000080,8000142,32,38,392,105,3360
8000080,8000149,92,103,467,210,5820
8000080,8000192,61,84,89,60,780
8000080,8000227,2,2,1395,1395,2610
8000080,8000251,65,73,151,90,690
8000080,8000263,16,17,725,330,2730
8000080,8000307,16,18,130,90,690
8000080,8000961,44,69,76,30,510
8000082,8000082,260,352,288,105,13980
8000082,8000085,147,173,445,150,14040
8000082,8000086,131,179,161,60,1890
8000085,8000001,19,19,556,330,1950
8000085,8000082,119,179,137,60,1620
8000085,8000085,563,727,243,60,13260
8000085,8000086,49,62,641,195,6300
8000085,8000087,41,43,253,120,1230
8000085,8000098,31,45,60,30,600
8000085,8000118,0,1,-30,-30,-30
8000085,8000207,88,106,232,120,2490
8000085,8000266,97,120,106,60,1140
8000085,8003368,34,41,729,180,12420
8000085,8073368,17,21,169,90,1350
8000086,8000001,16,20,294,270,1050
8000086,8000082,149,173,420,150,13860
8000086,8000085,44,49,239,210,1410
8000086,8000086,429,534,310,120,13680
8000086,8000098,64,69,613,180,6150
